,Hoy,SD_Angle,SD_Position
204,6997.0,32.0,0.1
205,6998.0,25.0,-0.12
206,6999.0,33.0,0.12
207,7000.0,7.0,0.04
208,7001.0,7.0,-0.11
209,7015.0,42.0,-0.02
210,7016.0,11.0,0.02
211,7017.0,45.0,-0.01
212,7018.0,1.0,-0.0
213,7019.0,49.0,-0.09
214,7020.0,86.0,-0.12
215,7021.0,60.0,0.09
216,7022.0,36.0,0.0
217,7023.0,20.0,0.01
218,7024.0,83.0,-0.08
219,7025.0,0.0,-0.07
220,7039.0,86.0,0.04
221,7040.0,82.0,-0.06
222,7041.0,68.0,0.13
223,7042.0,44.0,0.13
224,7043.0,29.0,0.1
225,7044.0,79.0,0.03
226,7045.0,1.0,-0.12
227,7046.0,90.0,0.11
228,7047.0,3.0,-0.08
229,7048.0,34.0,-0.08
230,7049.0,15.0,-0.04
231,7063.0,27.0,-0.14
232,7064.0,47.0,0.02
233,7065.0,88.0,0.13
234,7066.0,44.0,-0.03
235,7067.0,86.0,-0.13
236,7068.0,57.0,0.12
237,7069.0,26.0,0.08
238,7070.0,23.0,0.02
239,7071.0,21.0,0.02
240,7072.0,33.0,0.03
241,7073.0,0.0,-0.0
242,7087.0,0.0,0.04
243,7088.0,18.0,-0.04
244,7089.0,75.0,-0.09
245,7090.0,21.0,0.13
246,7091.0,39.0,0.08
247,7092.0,24.0,-0.01
248,7093.0,90.0,-0.0
249,7094.0,23.0,-0.06
250,7095.0,29.0,0.11
251,7096.0,71.0,0.01
252,7097.0,4.0,0.01
253,7111.0,25.0,-0.05
254,7112.0,17.0,-0.09
255,7113.0,35.0,-0.08
256,7114.0,1.0,0.1
257,7115.0,45.0,0.1
258,7116.0,70.0,-0.05
259,7117.0,50.0,0.11
260,7118.0,42.0,0.09
261,7119.0,20.0,-0.03
262,7120.0,26.0,-0.05
263,7121.0,0.0,-0.02
264,7135.0,47.0,-0.11
265,7136.0,39.0,0.02
266,7137.0,52.0,-0.13
267,7138.0,0.0,0.08
268,7139.0,87.0,0.12
269,7140.0,88.0,0.0
270,7141.0,85.0,-0.0
271,7142.0,52.0,-0.1
272,7143.0,6.0,0.14
273,7144.0,70.0,0.02
274,7145.0,0.0,-0.14
275,7159.0,58.0,-0.07
276,7160.0,48.0,0.0
277,7161.0,0.0,-0.14
278,7162.0,35.0,0.08
279,7163.0,38.0,0.09
280,7164.0,40.0,0.12
281,7165.0,66.0,0.09
282,7166.0,5.0,-0.1
283,7167.0,5.0,0.03
284,7168.0,49.0,0.06
285,7169.0,0.0,0.02
286,7183.0,72.0,0.03
287,7184.0,20.0,-0.01
288,7185.0,43.0,0.14
289,7186.0,84.0,0.07
290,7187.0,6.0,0.13
291,7188.0,75.0,0.03
292,7189.0,37.0,0.09
293,7190.0,58.0,0.09
294,7191.0,20.0,0.02
295,7192.0,39.0,-0.06
296,7193.0,6.0,0.01
297,7207.0,52.0,-0.02
298,7208.0,28.0,0.0
299,7209.0,28.0,0.12
300,7210.0,68.0,0.08
301,7211.0,88.0,-0.12
302,7212.0,73.0,0.09
303,7213.0,71.0,0.1
304,7214.0,71.0,0.11
305,7215.0,26.0,-0.03
306,7216.0,3.0,-0.11
307,7217.0,0.0,-0.14
308,7231.0,54.0,0.01
309,7232.0,12.0,-0.06
310,7233.0,0.0,0.12
311,7234.0,90.0,0.01
312,7235.0,79.0,-0.11
313,7236.0,60.0,-0.12
314,7237.0,4.0,-0.05
315,7238.0,32.0,-0.01
316,7239.0,49.0,-0.06
317,7240.0,22.0,0.04
318,7241.0,4.0,-0.08
319,7255.0,15.0,-0.07
320,7256.0,1.0,-0.1
321,7257.0,19.0,0.14
322,7258.0,61.0,0.09
323,7259.0,47.0,0.09
324,7260.0,61.0,0.08
325,7261.0,90.0,0.14
326,7262.0,18.0,-0.12
327,7263.0,40.0,-0.04
328,7264.0,81.0,-0.03
329,7265.0,0.0,0.1
330,7279.0,51.0,-0.13
331,7280.0,33.0,-0.05
332,7281.0,62.0,0.12
333,7282.0,26.0,-0.05
334,7283.0,81.0,0.08
335,7284.0,48.0,0.1
336,7285.0,39.0,-0.0
337,7286.0,46.0,-0.03
338,7287.0,10.0,0.11
339,7288.0,59.0,-0.12
340,7289.0,13.0,0.01
341,7303.0,64.0,0.01
342,7304.0,57.0,0.03
343,7305.0,17.0,-0.04
344,7306.0,44.0,0.1
345,7307.0,25.0,-0.1
346,7308.0,82.0,0.06
347,7309.0,52.0,-0.08
348,7310.0,7.0,-0.01
349,7311.0,60.0,-0.09
350,7312.0,14.0,0.05
351,7313.0,2.0,-0.14
352,7327.0,17.0,0.01
353,7328.0,59.0,-0.11
354,7329.0,32.0,-0.02
355,7330.0,3.0,0.1
356,7331.0,37.0,0.14
357,7332.0,56.0,-0.12
358,7333.0,86.0,0.08
359,7334.0,26.0,-0.13
360,7335.0,61.0,0.11
361,7336.0,19.0,0.05
362,7337.0,0.0,-0.02
363,7351.0,1.0,-0.07
364,7352.0,1.0,0.04
365,7353.0,45.0,0.01
366,7354.0,8.0,-0.1
367,7355.0,88.0,-0.0
368,7356.0,56.0,0.11
369,7357.0,17.0,-0.08
370,7358.0,45.0,0.11
371,7359.0,69.0,-0.08
372,7360.0,35.0,0.06
373,7361.0,20.0,0.08
374,7375.0,49.0,0.02
375,7376.0,11.0,-0.12
376,7377.0,61.0,0.0
377,7378.0,28.0,-0.14
378,7379.0,89.0,0.12
379,7380.0,76.0,0.06
380,7381.0,32.0,-0.13
381,7382.0,58.0,0.1
382,7383.0,11.0,-0.09
383,7384.0,9.0,-0.05
384,7385.0,7.0,0.08
385,7399.0,47.0,-0.09
386,7400.0,36.0,-0.06
387,7401.0,19.0,-0.03
388,7402.0,5.0,-0.01
389,7403.0,60.0,-0.08
390,7404.0,0.0,0.08
391,7405.0,58.0,0.14
392,7406.0,6.0,-0.05
393,7407.0,72.0,-0.03
394,7408.0,9.0,-0.02
395,7409.0,2.0,-0.04
396,7423.0,55.0,0.05
397,7424.0,5.0,-0.0
398,7425.0,23.0,0.13
399,7426.0,80.0,0.13
400,7427.0,50.0,0.1
401,7428.0,49.0,0.07
402,7429.0,7.0,0.12
403,7430.0,34.0,0.13
404,7431.0,24.0,-0.03
405,7432.0,70.0,-0.05
406,7433.0,76.0,-0.04
407,7447.0,19.0,0.05
408,7448.0,52.0,-0.09
409,7449.0,21.0,-0.02
410,7450.0,28.0,-0.03
411,7451.0,18.0,-0.0
412,7452.0,74.0,0.03
413,7453.0,21.0,-0.14
414,7454.0,30.0,-0.01
415,7455.0,66.0,-0.04
416,7456.0,12.0,0.03
417,7457.0,21.0,-0.02
418,7471.0,14.0,-0.08
419,7472.0,52.0,-0.03
420,7473.0,0.0,0.02
421,7474.0,32.0,0.12
422,7475.0,89.0,0.06
423,7476.0,78.0,0.02
424,7477.0,51.0,-0.1
425,7478.0,40.0,0.13
426,7479.0,43.0,-0.05
427,7480.0,43.0,-0.09
428,7481.0,0.0,0.02
429,7495.0,57.0,-0.08
430,7496.0,59.0,0.02
431,7497.0,39.0,-0.05
432,7498.0,17.0,-0.13
433,7499.0,57.0,-0.09
434,7500.0,86.0,0.09
435,7501.0,68.0,0.07
436,7502.0,68.0,-0.07
437,7503.0,37.0,-0.04
438,7504.0,64.0,-0.1
439,7505.0,24.0,0.01
440,7519.0,78.0,-0.07
441,7520.0,0.0,-0.09
442,7521.0,6.0,-0.12
443,7522.0,0.0,-0.04
444,7523.0,90.0,-0.09
445,7524.0,44.0,0.09
