2.254,0.108,90,-0.12
2.455,0.245,45,-0.11
2.682,0.35,50,-0.11
2.932,0.414,55,-0.11
3.196,0.429,60,-0.11
3.456,0.394,65,-0.11
3.698,0.312,70,-0.11
3.914,0.193,75,-0.11
4.106,0.045,80,-0.11
4.279,-0.122,85,-0.11
2.251,0.108,90,-0.11
2.452,0.246,30,-0.1
2.679,0.351,35,-0.1
2.93,0.415,40,-0.1
3.194,0.431,45,-0.1
3.454,0.396,50,-0.1
3.697,0.314,55,-0.1
3.913,0.195,60,-0.1
4.106,0.048,65,-0.1
4.279,-0.12,70,-0.1
2.249,0.108,75,-0.1
2.45,0.246,80,-0.1
2.677,0.352,85,-0.1
2.928,0.417,90,-0.1
3.192,0.433,25,-0.09
3.453,0.398,30,-0.09
3.695,0.317,35,-0.09
3.913,0.198,40,-0.09
4.105,0.05,45,-0.09
4.279,-0.117,50,-0.09
2.246,0.109,55,-0.09
2.447,0.247,60,-0.09
2.674,0.353,65,-0.09
2.925,0.418,70,-0.09
3.19,0.435,75,-0.09
3.451,0.4,80,-0.09
3.695,0.319,85,-0.09
3.912,0.2,90,-0.09
4.105,0.053,20,-0.08
4.279,-0.115,25,-0.08
2.243,0.109,30,-0.08
2.445,0.248,35,-0.08
2.672,0.354,40,-0.08
2.923,0.42,45,-0.08
3.188,0.437,50,-0.08
3.45,0.402,55,-0.08
3.694,0.322,60,-0.08
3.912,0.203,65,-0.08
4.105,0.056,70,-0.08
4.279,-0.112,75,-0.08
2.241,0.11,80,-0.08
2.442,0.248,85,-0.08
2.669,0.356,90,-0.08
2.921,0.421,20,-0.07
3.186,0.439,25,-0.07
3.449,0.405,30,-0.07
3.693,0.324,35,-0.07
3.911,0.206,40,-0.07
4.105,0.058,45,-0.07
4.28,-0.109,50,-0.07
2.238,0.11,55,-0.07
2.439,0.249,60,-0.07
2.667,0.357,65,-0.07
2.918,0.423,70,-0.07
3.184,0.441,75,-0.07
3.447,0.407,80,-0.07
3.692,0.327,85,-0.07
3.911,0.208,90,-0.07
4.105,0.061,15,-0.06
4.28,-0.107,20,-0.06
2.235,0.111,25,-0.06
2.437,0.251,30,-0.06
2.664,0.359,35,-0.06
2.916,0.425,40,-0.06
3.183,0.443,45,-0.06
3.446,0.41,50,-0.06
3.692,0.33,55,-0.06
3.911,0.211,60,-0.06
4.105,0.064,65,-0.06
4.281,-0.104,70,-0.06
2.232,0.112,75,-0.06
2.434,0.252,80,-0.06
2.661,0.36,85,-0.06
2.914,0.427,90,-0.06
3.181,0.446,15,-0.05
3.445,0.413,20,-0.05
3.691,0.333,25,-0.05
3.911,0.214,30,-0.05
4.106,0.067,35,-0.05
4.281,-0.101,40,-0.05
2.229,0.113,45,-0.05
2.431,0.253,50,-0.05
2.659,0.362,55,-0.05
2.911,0.43,60,-0.05
3.179,0.448,65,-0.05
3.444,0.416,70,-0.05
3.691,0.336,75,-0.05
3.911,0.217,80,-0.05
4.106,0.07,85,-0.05
4.282,-0.098,90,-0.05
2.226,0.114,15,-0.04
2.428,0.255,20,-0.04
2.656,0.364,25,-0.04
2.909,0.432,30,-0.04
3.177,0.451,35,-0.04
3.443,0.419,40,-0.04
3.69,0.339,45,-0.04
3.911,0.221,50,-0.04
4.107,0.073,55,-0.04
4.283,-0.095,60,-0.04
2.223,0.115,65,-0.04
2.425,0.256,70,-0.04
2.653,0.366,75,-0.04
2.907,0.435,80,-0.04
3.176,0.454,85,-0.04
3.442,0.422,90,-0.04
3.69,0.342,15,-0.03
3.912,0.224,20,-0.03
4.108,0.076,25,-0.03
4.284,-0.092,30,-0.03
2.22,0.116,35,-0.03
2.422,0.258,40,-0.03
2.651,0.368,45,-0.03
2.905,0.437,50,-0.03
3.174,0.457,55,-0.03
3.441,0.425,60,-0.03
3.69,0.346,65,-0.03
3.912,0.227,70,-0.03
4.108,0.08,75,-0.03
4.285,-0.088,80,-0.03
2.217,0.118,85,-0.03
2.419,0.26,90,-0.03
2.648,0.37,10,-0.02
2.902,0.44,15,-0.02
3.172,0.46,20,-0.02
3.44,0.428,25,-0.02
3.69,0.349,30,-0.02
3.912,0.231,35,-0.02
4.109,0.083,40,-0.02
4.286,-0.085,45,-0.02
2.214,0.119,50,-0.02
2.416,0.262,55,-0.02
2.645,0.373,60,-0.02
2.9,0.443,65,-0.02
3.171,0.463,70,-0.02
3.44,0.432,75,-0.02
3.69,0.353,80,-0.02
3.913,0.234,85,-0.02
4.11,0.086,90,-0.02
4.287,-0.082,10,-0.01
2.211,0.121,15,-0.01
2.413,0.264,20,-0.01
2.642,0.375,25,-0.01
2.898,0.446,30,-0.01
3.169,0.467,35,-0.01
3.439,0.435,40,-0.01
3.69,0.356,45,-0.01
3.914,0.238,50,-0.01
4.111,0.09,55,-0.01
4.289,-0.079,60,-0.01
2.208,0.123,65,-0.01
2.41,0.266,70,-0.01
2.64,0.378,75,-0.01
2.896,0.449,80,-0.01
3.168,0.47,85,-0.01
3.438,0.439,90,-0.01
3.69,0.36,10,0
3.915,0.241,15,0
4.113,0.093,20,0
4.29,-0.075,25,0
4.457,-0.257,30,0
2.204,0.125,35,0
2.407,0.268,40,0
2.637,0.381,45,0
2.894,0.452,50,0
3.167,0.474,55,0
3.438,0.443,60,0
3.69,0.364,65,0
3.915,0.245,70,0
4.114,0.097,75,0
4.292,-0.072,80,0
4.459,-0.254,85,0
2.201,0.127,90,0
2.404,0.271,10,0.01
2.634,0.384,15,0.01
2.891,0.455,20,0.01
3.165,0.477,25,0.01
3.438,0.447,30,0.01
3.691,0.367,35,0.01
3.916,0.249,40,0.01
4.115,0.1,45,0.01
4.294,-0.068,50,0.01
4.461,-0.251,55,0.01
2.198,0.129,60,0.01
2.401,0.273,65,0.01
2.631,0.387,70,0.01
2.889,0.459,75,0.01
3.164,0.481,80,0.01
3.437,0.451,85,0.01
3.691,0.371,90,0.01
3.918,0.252,10,0.02
4.117,0.104,15,0.02
4.296,-0.065,20,0.02
4.463,-0.247,25,0.02
2.194,0.131,30,0.02
2.398,0.276,35,0.02
2.629,0.39,40,0.02
2.887,0.462,45,0.02
3.163,0.485,50,0.02
3.437,0.455,55,0.02
3.692,0.375,60,0.02
3.919,0.256,65,0.02
4.119,0.108,70,0.02
4.298,-0.061,75,0.02
4.465,-0.244,80,0.02
2.191,0.133,85,0.02
2.394,0.278,90,0.02
2.626,0.393,15,0.03
2.885,0.466,20,0.03
3.162,0.489,25,0.03
3.437,0.459,30,0.03
3.693,0.379,35,0.03
3.92,0.26,40,0.03
4.12,0.111,45,0.03
4.3,-0.058,50,0.03
4.468,-0.241,55,0.03
2.187,0.136,60,0.03
2.391,0.281,65,0.03
2.623,0.396,70,0.03
2.883,0.47,75,0.03
3.16,0.493,80,0.03
3.437,0.463,85,0.03
3.693,0.384,90,0.03
3.921,0.264,15,0.04
4.122,0.115,20,0.04
4.302,-0.054,25,0.04
4.47,-0.237,30,0.04
2.184,0.138,35,0.04
2.388,0.284,40,0.04
2.62,0.4,45,0.04
2.881,0.474,50,0.04
3.159,0.497,55,0.04
3.437,0.467,60,0.04
3.694,0.388,65,0.04
3.923,0.268,70,0.04
4.124,0.119,75,0.04
4.304,-0.051,80,0.04
4.473,-0.234,85,0.04
2.18,0.141,90,0.04
2.385,0.287,15,0.05
2.618,0.403,20,0.05
2.879,0.478,25,0.05
3.158,0.502,30,0.05
3.437,0.472,35,0.05
3.695,0.392,40,0.05
3.925,0.272,45,0.05
4.126,0.123,50,0.05
4.307,-0.047,55,0.05
4.476,-0.23,60,0.05
2.177,0.144,65,0.05
2.382,0.291,70,0.05
2.615,0.407,75,0.05
2.877,0.482,80,0.05
3.157,0.506,85,0.05
3.437,0.476,90,0.05
3.696,0.397,15,0.06
3.926,0.277,20,0.06
4.129,0.127,25,0.06
4.309,-0.043,30,0.06
4.478,-0.227,35,0.06
2.173,0.147,40,0.06
2.378,0.294,45,0.06
2.612,0.411,50,0.06
2.875,0.486,55,0.06
3.156,0.511,60,0.06
3.437,0.481,65,0.06
3.697,0.401,70,0.06
3.928,0.281,75,0.06
4.131,0.131,80,0.06
4.312,-0.039,85,0.06
4.481,-0.223,90,0.06
2.17,0.15,20,0.07
2.375,0.297,25,0.07
2.609,0.415,30,0.07
2.873,0.49,35,0.07
3.156,0.515,40,0.07
3.437,0.485,45,0.07
3.699,0.406,50,0.07
3.93,0.285,55,0.07
4.133,0.135,60,0.07
4.315,-0.036,65,0.07
4.484,-0.219,70,0.07
2.166,0.153,75,0.07
2.372,0.301,80,0.07
2.607,0.419,85,0.07
2.871,0.495,90,0.07
3.155,0.52,20,0.08
3.438,0.49,25,0.08
3.7,0.41,30,0.08
3.932,0.289,35,0.08
4.136,0.139,40,0.08
4.318,-0.032,45,0.08
4.488,-0.216,50,0.08
2.163,0.156,55,0.08
2.368,0.305,60,0.08
2.604,0.423,65,0.08
2.869,0.499,70,0.08
3.154,0.525,75,0.08
3.438,0.495,80,0.08
3.701,0.415,85,0.08
