Hoy Azimuth Altitude Hor_Angle Ver_Angle
302 207.472317 41.113439 62.140363 44.529114
303 221.925696 33.197753 44.40037 41.330163
304 232.739989 23.003663 28.076554 35.039445
305 240.877688 11.443088 13.045766 22.583334
320 118.454619 10.516842 11.922977 21.287308
321 126.405172 22.179113 26.863078 34.485022
322 136.960274 32.540197 43.072208 41.120862
323 151.105852 40.718023 60.689878 44.510572
324 169.139158 45.476506 79.501312 45.994111
325 189.143982 45.69366 81.182881 46.059859
326 207.477515 41.308273 62.298333 44.726986
327 221.988189 33.385712 44.570468 41.561356
328 232.833804 23.178712 28.248768 35.326081
329 240.989849 11.603891 13.213706 22.94847
344 118.253019 10.531866 11.917843 21.442384
345 126.195 22.220893 26.848998 34.674504
346 136.741863 32.616475 43.039863 41.305678
347 150.894205 40.836697 60.62924 44.689198
348 168.973363 45.638901 79.405411 46.172479
349 189.066718 45.886072 81.313246 46.246015
350 207.489611 41.508062 62.454227 44.93148
351 222.058407 33.577161 44.739452 41.799394
352 232.935222 23.356017 28.420807 35.62037
353 241.109294 11.766027 13.381972 23.321941
368 118.046632 10.552063 11.918245 21.61239
369 125.980456 22.268309 26.840495 34.875786
370 136.519743 32.698891 43.013042 41.499728
371 150.680272 40.961984 60.573933 44.875595
372 168.808119 45.808068 79.31414 46.357723
373 188.993803 46.084662 81.440203 46.438705
374 207.508712 41.712698 62.607909 45.142561
375 222.136414 33.771977 44.907438 42.044307
376 233.044258 23.535457 28.592544 35.922153
377 241.236007 11.929383 13.550265 23.703557
392 117.835553 10.577446 11.924051 21.797492
393 125.761626 22.32135 26.837653 35.088988
394 136.293984 32.787412 42.991851 41.7031
395 150.464106 41.093833 60.523847 45.069689
396 168.643492 45.983946 79.227466 46.549848
397 188.925341 46.289344 81.563589 46.637887
398 207.534924 41.922072 62.759212 45.360021
399 222.222272 33.970037 45.074028 42.295965
400 233.160927 23.716907 28.763702 36.231288
401 241.369966 12.093845 13.718585 24.093455
402 247.759649 0.069679 0.075272 0.184076
416 117.619882 10.608024 11.935371 21.99809
417 125.538595 22.380003 26.840404 35.314008
418 136.064655 32.882005 42.976241 41.915594
419 150.245761 41.232194 60.479105 45.271409
420 168.479544 46.166467 79.14543 46.748737
421 188.861436 46.500033 81.6832 46.843451
422 207.568351 42.136071 62.907974 45.583915
423 222.31604 34.171215 45.239238 42.554348
424 233.285239 23.900246 28.93428 36.547808
425 241.511148 12.259303 13.886651 24.491549
426 247.914486 0.195263 0.210727 0.519322
440 117.399716 10.643805 11.952147 22.214352
441 125.311448 22.444253 26.848708 35.550945
442 135.831826 32.982632 42.966167 42.137296
443 150.025288 41.37701 60.439695 45.480723
444 168.316336 46.355564 79.068207 46.954356
445 188.802193 46.716641 81.799103 47.055319
446 207.609101 42.354583 63.054103 45.813997
447 222.417775 34.375385 45.402781 42.81919
448 233.417204 24.085348 29.103972 36.871532
449 241.659523 12.425643 14.054468 24.897989
450 248.07623 0.322523 0.347661 0.863744
464 117.175151 10.684791 11.974361 22.446523
465 125.080271 22.514077 26.862645 35.799837
466 135.59556 33.089252 42.961725 42.368099
467 149.802734 41.528225 60.405565 45.69756
468 168.153929 46.551166 78.995663 47.166588
469 188.747717 46.939077 81.911127 47.273375
470 207.657277 42.57749 63.197483 46.05028
471 222.527532 34.582419 45.564681 43.090575
472 233.556825 24.272092 29.272721 37.202483
473 241.815063 12.592755 14.221899 25.312863
474 248.244827 0.451306 0.485932 1.217524
488 116.946286 10.73098 12.001992 22.69499
489 124.845145 22.589454 26.882172 36.060728
490 135.355922 33.201819 42.962814 42.60799
491 149.578144 41.685777 60.376892 45.921754
492 167.992379 46.753199 78.92804 47.385317
493 188.698114 47.167248 82.019182 47.497546
494 207.712987 42.804675 63.337928 46.292608
495 222.645365 34.792187 45.724707 43.368338
496 233.704103 24.460352 29.440414 37.540621
497 241.977732 12.76053 14.388732 25.736025
498 248.420218 0.581459 0.625272 1.58055
512 116.713217 10.782367 12.035058 22.959925
513 124.606153 22.670355 26.907276 36.333684
514 135.112973 33.320286 42.969527 42.856857
515 149.35156 41.849603 60.353525 46.153318
516 167.831742 46.96159 78.865212 47.610465
517 188.653491 47.401059 82.123194 47.727756
518 207.776335 43.036018 63.475463 46.540909
519 222.771324 35.00456 45.882686 43.652417
520 233.859037 24.650005 29.606906 37.885808
521 242.147492 12.928857 14.554837 26.167529
522 248.602341 0.712832 0.765602 1.953178
536 116.476042 10.838945 12.073525 23.241737
537 124.363375 22.756748 26.937884 36.618573
538 134.866772 33.444602 42.981659 43.114582
539 149.12302 42.019636 60.335434 46.392088
540 167.672071 47.176259 78.807263 47.842
541 188.613953 47.640414 82.223212 47.963856
542 207.847426 43.271397 63.609847 46.795118
543 222.905457 35.219405 46.038551 43.942609
544 234.02162 24.840926 29.772064 38.237944
545 242.324303 13.097629 14.720179 26.60749
546 248.791132 0.845275 0.906659 2.335337
560 116.234856 10.9007 12.117336 23.540596
561 124.116891 22.8486 26.973922 36.915435
562 134.617375 33.574711 42.999404 43.381248
563 148.892561 42.195808 60.322759 46.63803
564 167.513418 47.397129 78.754196 48.079719
565 188.579608 47.885213 82.319017 48.205771
566 207.926364 43.510688 63.741077 47.05508
567 223.047809 35.436591 46.192286 44.239003
568 234.191844 25.032993 29.935806 38.597066
569 242.508121 13.26674 14.884598 27.056026
570 248.986525 0.978639 1.048366 2.727412
584 115.989756 10.967617 12.166543 23.856898
585 123.866777 22.945871 27.015496 37.224398
586 134.364839 33.710556 43.022553 43.656732
587 148.660215 42.378045 60.315373 46.89102
588 167.355832 47.624118 78.706013 48.323635
589 188.550563 48.135358 82.410688 48.453474
590 208.013254 43.753766 63.869022 47.32073
591 223.198422 35.655985 46.343576 44.541348
592 234.369695 25.226083 30.097939 38.963029
593 242.698897 13.436084 15.047986 27.513061
594 249.188448 1.112779 1.190402 3.129195
608 115.740836 11.039676 12.221051 24.19087
609 123.613111 23.04852 27.062498 37.545336
610 134.109214 33.852077 43.051145 43.940811
611 148.426011 42.566274 60.313312 47.151023
612 167.199359 47.857142 78.662787 48.573587
613 188.526927 48.390744 82.498071 48.70673
614 208.1082 44.000504 63.993654 47.591964
615 223.357336 35.877453 46.492567 44.849642
616 234.555158 25.420072 30.258456 39.335876
617 242.896581 13.605559 15.210175 27.978626
618 249.396831 1.247552 1.332758 3.541272
632 115.48819 11.116853 12.280814 24.542747
633 123.355968 23.156501 27.114828 37.878193
634 133.850549 33.999207 43.08512 44.233509
635 148.189974 42.760417 60.316374 47.417784
636 167.044044 48.096115 78.624366 48.829415
637 188.508807 48.651269 82.581259 48.965551
638 208.211304 44.250773 64.114917 47.868675
639 223.524588 36.100861 46.63895 45.163784
640 234.748212 25.61484 30.41711 39.715349
641 243.101119 13.77506 15.371214 28.453005
