90,-0.12
45,-0.11
50,-0.11
55,-0.11
60,-0.11
65,-0.11
70,-0.11
75,-0.11
80,-0.11
85,-0.11
90,-0.11
30,-0.10
35,-0.10
40,-0.10
45,-0.10
50,-0.10
55,-0.10
60,-0.10
65,-0.10
70,-0.10
75,-0.10
80,-0.10
85,-0.10
90,-0.10
25,-0.09
30,-0.09
35,-0.09
40,-0.09
45,-0.09
50,-0.09
55,-0.09
60,-0.09
65,-0.09
70,-0.09
75,-0.09
80,-0.09
85,-0.09
90,-0.09
20,-0.08
25,-0.08
30,-0.08
35,-0.08
40,-0.08
45,-0.08
50,-0.08
55,-0.08
60,-0.08
65,-0.08
70,-0.08
75,-0.08
80,-0.08
85,-0.08
90,-0.08
20,-0.07
25,-0.07
30,-0.07
35,-0.07
40,-0.07
45,-0.07
50,-0.07
55,-0.07
60,-0.07
65,-0.07
70,-0.07
75,-0.07
80,-0.07
85,-0.07
90,-0.07
15,-0.06
20,-0.06
25,-0.06
30,-0.06
35,-0.06
40,-0.06
45,-0.06
50,-0.06
55,-0.06
60,-0.06
65,-0.06
70,-0.06
75,-0.06
80,-0.06
85,-0.06
90,-0.06
15,-0.05
20,-0.05
25,-0.05
30,-0.05
35,-0.05
40,-0.05
45,-0.05
50,-0.05
55,-0.05
60,-0.05
65,-0.05
70,-0.05
75,-0.05
80,-0.05
85,-0.05
90,-0.05
15,-0.04
20,-0.04
25,-0.04
30,-0.04
35,-0.04
40,-0.04
45,-0.04
50,-0.04
55,-0.04
60,-0.04
65,-0.04
70,-0.04
75,-0.04
80,-0.04
85,-0.04
90,-0.04
15,-0.03
20,-0.03
25,-0.03
30,-0.03
35,-0.03
40,-0.03
45,-0.03
50,-0.03
55,-0.03
60,-0.03
65,-0.03
70,-0.03
75,-0.03
80,-0.03
85,-0.03
90,-0.03
10,-0.02
15,-0.02
20,-0.02
25,-0.02
30,-0.02
35,-0.02
40,-0.02
45,-0.02
50,-0.02
55,-0.02
60,-0.02
65,-0.02
70,-0.02
75,-0.02
80,-0.02
85,-0.02
90,-0.02
10,-0.01
15,-0.01
20,-0.01
25,-0.01
30,-0.01
35,-0.01
40,-0.01
45,-0.01
50,-0.01
55,-0.01
60,-0.01
65,-0.01
70,-0.01
75,-0.01
80,-0.01
85,-0.01
90,-0.01
10,0.00
15,0.00
20,0.00
25,0.00
30,0.00
35,0.00
40,0.00
45,0.00
50,0.00
55,0.00
60,0.00
65,0.00
70,0.00
75,0.00
80,0.00
85,0.00
90,0.00
10,0.01
15,0.01
20,0.01
25,0.01
30,0.01
35,0.01
40,0.01
45,0.01
50,0.01
55,0.01
60,0.01
65,0.01
70,0.01
75,0.01
80,0.01
85,0.01
90,0.01
10,0.02
15,0.02
20,0.02
25,0.02
30,0.02
35,0.02
40,0.02
45,0.02
50,0.02
55,0.02
60,0.02
65,0.02
70,0.02
75,0.02
80,0.02
85,0.02
90,0.02
15,0.03
20,0.03
25,0.03
30,0.03
35,0.03
40,0.03
45,0.03
50,0.03
55,0.03
60,0.03
65,0.03
70,0.03
75,0.03
80,0.03
85,0.03
90,0.03
15,0.04
20,0.04
25,0.04
30,0.04
35,0.04
40,0.04
45,0.04
50,0.04
55,0.04
60,0.04
65,0.04
70,0.04
75,0.04
80,0.04
85,0.04
90,0.04
15,0.05
20,0.05
25,0.05
30,0.05
35,0.05
40,0.05
45,0.05
50,0.05
55,0.05
60,0.05
65,0.05
70,0.05
75,0.05
80,0.05
85,0.05
90,0.05
15,0.06
20,0.06
25,0.06
30,0.06
35,0.06
40,0.06
45,0.06
50,0.06
55,0.06
60,0.06
65,0.06
70,0.06
75,0.06
80,0.06
85,0.06
90,0.06
20,0.07
25,0.07
30,0.07
35,0.07
40,0.07
45,0.07
50,0.07
55,0.07
60,0.07
65,0.07
70,0.07
75,0.07
80,0.07
85,0.07
90,0.07
20,0.08
25,0.08
30,0.08
35,0.08
40,0.08
45,0.08
50,0.08
55,0.08
60,0.08
65,0.08
70,0.08
75,0.08
80,0.08
85,0.08
90,0.08
25,0.09
30,0.09
35,0.09
40,0.09
45,0.09
50,0.09
55,0.09
60,0.09
65,0.09
70,0.09
75,0.09
80,0.09
85,0.09
90,0.09
30,0.10
35,0.10
40,0.10
45,0.10
50,0.10
55,0.10
60,0.10
65,0.10
70,0.10
75,0.10
80,0.10
85,0.10
90,0.10
45,0.11
50,0.11
55,0.11
60,0.11
65,0.11
70,0.11
75,0.11
80,0.11
85,0.11
90,0.11
90,0.12
