Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,ED,Val_ED,Optimizer
1932,0,0,85,-0.11,0.973,0.0,0.722,0.0,0.696,0.696,196.83,0.893,219.873,0.0,39.198,0.0,-0.696
1932,0,1,61,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,473.047,0.745,220.733,0.0,31.171,0.0,-0.304
1932,0,2,23,-0.03,0.973,0.0,0.722,0.0,0.174,0.174,784.625,0.579,222.042,0.0,25.11,0.0,-0.174
1932,0,3,9,-0.02,0.973,0.0,0.722,0.0,0.13,0.13,1158.237,0.38,222.539,0.0,23.002,0.0,-0.13
1932,0,4,64,-0.03,0.973,0.0,0.722,0.0,0.217,0.217,563.419,0.696,220.605,0.0,29.511,0.0,-0.217
1932,0,5,50,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,493.847,0.734,221.118,0.0,30.054,0.0,-0.304
1932,0,6,53,0.1,0.973,0.0,0.719,0.0,0.652,0.652,243.813,0.869,221.009,0.0,15.283,0.0,-0.652
1932,0,7,2,-0.08,0.973,0.0,0.722,0.0,0.522,0.522,796.298,0.575,222.795,0.0,30.007,0.0,-0.522
1932,0,8,23,0.12,0.983,0.0,0.724,0.0,0.739,0.739,199.25,0.893,222.062,0.0,7.796,0.0,-0.739
1932,0,9,30,0.08,0.973,0.0,0.719,0.0,0.478,0.478,413.257,0.778,221.794,0.0,13.162,0.0,-0.478
1932,1,0,40,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,159.535,0.914,221.452,0.0,36.832,0.0,-0.783
1932,1,1,32,0.0,0.973,0.0,0.722,0.0,0.0,0.0,866.015,0.535,221.748,0.0,23.017,0.0,-0.0
1932,1,2,45,-0.05,0.973,0.0,0.722,0.0,0.304,0.304,510.418,0.725,221.296,0.0,29.521,0.0,-0.304
1932,1,3,37,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,164.951,0.911,221.573,0.0,36.578,0.0,-0.783
1932,1,4,24,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,194.564,0.896,222.012,0.0,35.61,0.0,-0.783
1932,1,5,44,-0.12,0.973,0.0,0.722,0.0,0.783,0.783,154.043,0.917,221.302,0.0,37.18,0.0,-0.783
1932,1,6,77,-0.02,0.973,0.0,0.722,0.0,0.348,0.348,615.854,0.667,220.158,0.0,29.684,0.0,-0.348
1932,1,7,0,-0.12,0.97,0.0,0.643,0.0,0.826,0.826,377.521,0.798,222.879,0.0,34.8,0.0,-0.826
1932,1,8,8,-0.0,0.973,0.0,0.722,0.0,0.0,0.0,1383.565,0.26,222.582,0.0,20.628,0.0,-0.0
1932,1,9,41,0.12,0.983,0.0,0.724,0.0,0.739,0.739,158.21,0.915,221.418,0.0,11.666,0.0,-0.739
1932,2,0,70,0.0,0.973,0.0,0.722,0.0,0.261,0.261,701.552,0.621,220.418,0.0,27.506,0.0,-0.261
