Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
752.0,0,0,15,-0.1,0.791,0.396,0.652,1.486,0.739,0.396,0.652,0.006,0.632,247.469,-1.794
752.0,0,1,44,0.1,0.932,0.78,0.609,2.401,0.915,0.78,0.609,0.01,0.406,247.663,-2.313
752.0,0,2,23,0.05,1.0,0.571,0.261,3.216,1.0,0.571,0.261,0.013,0.204,247.52,-1.845
752.0,0,3,25,0.08,1.0,0.748,0.478,2.331,1.0,0.748,0.478,0.009,0.423,247.538,-2.235
752.0,0,4,84,-0.02,0.898,0.505,0.522,0.0,0.873,0.505,0.522,0.0,1.0,247.907,-1.9
752.0,0,5,81,-0.0,0.895,0.53,0.478,0.0,0.869,0.53,0.478,0.0,1.0,247.891,-1.877
752.0,0,6,13,-0.05,0.997,0.125,0.304,2.922,0.996,0.125,0.304,0.012,0.276,247.456,-1.436
752.0,0,7,23,0.0,1.0,0.001,0.043,4.038,1.0,0.001,0.043,0.016,0.0,247.525,-1.061
752.0,0,8,66,-0.05,0.856,0.242,0.348,4.043,0.82,0.242,0.348,0.016,0.0,247.799,-1.426
752.0,0,9,50,-0.02,0.998,0.094,0.174,4.041,0.997,0.094,0.174,0.016,0.0,247.7,-1.281
752.0,1,0,23,-0.04,1.0,0.098,0.261,3.568,1.0,0.098,0.261,0.014,0.116,247.525,-1.373
752.0,1,1,20,0.08,1.0,0.748,0.478,2.189,1.0,0.748,0.478,0.009,0.458,247.504,-2.235
752.0,1,2,17,0.03,1.0,0.108,0.13,3.637,1.0,0.108,0.13,0.015,0.099,247.483,-1.253
752.0,1,3,61,0.14,0.707,0.441,0.913,0.955,0.634,0.441,0.913,0.004,0.764,247.772,-1.992
752.0,1,4,39,0.1,0.932,0.78,0.609,2.125,0.915,0.78,0.609,0.009,0.474,247.631,-2.312
752.0,1,5,86,-0.03,0.893,0.534,0.565,0.0,0.867,0.534,0.565,0.0,1.0,247.917,-1.965
752.0,1,6,0,0.09,0.992,0.789,0.522,1.614,0.99,0.789,0.522,0.006,0.6,247.358,-2.307
752.0,1,7,25,0.02,1.0,0.057,0.087,4.039,1.0,0.057,0.087,0.016,0.0,247.539,-1.16
752.0,1,8,21,0.09,0.98,0.798,0.565,1.894,0.975,0.798,0.565,0.008,0.531,247.509,-2.346
752.0,1,9,49,-0.01,0.973,0.039,0.13,4.041,0.966,0.039,0.13,0.016,0.0,247.696,-1.152
752.0,2,0,24,0.04,1.0,0.315,0.217,3.605,1.0,0.315,0.217,0.014,0.107,247.53,-1.546
752.0,2,1,36,0.07,1.0,0.745,0.391,3.182,1.0,0.745,0.391,0.013,0.212,247.61,-2.149
752.0,2,2,20,0.14,0.75,0.435,0.87,0.313,0.687,0.435,0.87,0.001,0.922,247.505,-1.993
752.0,2,3,3,0.11,0.812,0.466,0.696,1.094,0.765,0.466,0.696,0.004,0.729,247.386,-1.931
752.0,2,4,13,0.14,0.744,0.421,0.87,0.291,0.68,0.421,0.87,0.001,0.928,247.453,-1.971
752.0,2,5,41,0.11,0.763,0.487,0.696,1.771,0.704,0.487,0.696,0.007,0.562,247.642,-1.894
752.0,2,6,0,0.11,0.812,0.466,0.696,1.076,0.765,0.466,0.696,0.004,0.733,247.358,-1.931
752.0,2,7,54,-0.05,0.915,0.247,0.348,4.042,0.894,0.247,0.348,0.016,0.0,247.723,-1.505
752.0,2,8,0,0.14,0.76,0.421,0.87,0.269,0.7,0.421,0.87,0.001,0.933,247.358,-1.992
752.0,2,9,5,0.07,1.0,0.743,0.391,2.207,1.0,0.743,0.391,0.009,0.453,247.397,-2.143
752.0,3,0,43,0.0,0.952,0.065,0.174,4.04,0.939,0.065,0.174,0.016,0.0,247.658,-1.195
752.0,3,1,23,-0.01,1.0,0.0,0.087,4.038,1.0,0.0,0.087,0.016,0.0,247.524,-1.103
752.0,3,2,27,0.05,1.0,0.571,0.261,3.406,1.0,0.571,0.261,0.014,0.157,247.549,-1.846
752.0,3,3,49,0.03,0.999,0.186,0.174,4.041,0.998,0.186,0.174,0.016,0.0,247.692,-1.375
752.0,3,4,14,0.1,0.97,0.768,0.609,1.468,0.963,0.768,0.609,0.006,0.636,247.459,-2.345
752.0,3,5,41,0.09,0.946,0.774,0.565,2.656,0.932,0.774,0.565,0.011,0.343,247.642,-2.282
752.0,3,6,8,0.04,1.0,0.272,0.217,3.09,1.0,0.272,0.217,0.012,0.234,247.419,-1.502
752.0,3,7,9,-0.06,0.875,0.199,0.391,2.539,0.844,0.199,0.391,0.01,0.371,247.423,-1.444
752.0,3,8,0,0.14,0.76,0.421,0.87,0.269,0.7,0.421,0.87,0.001,0.933,247.358,-1.992
752.0,3,9,26,0.06,1.0,0.672,0.348,3.015,1.0,0.672,0.348,0.012,0.254,247.541,-2.032
752.0,4,0,19,-0.03,1.0,0.053,0.174,3.697,1.0,0.053,0.174,0.015,0.085,247.494,-1.242
752.0,4,1,47,0.14,0.729,0.441,0.87,0.526,0.662,0.441,0.87,0.002,0.87,247.684,-1.975
752.0,4,2,20,0.1,0.959,0.776,0.609,1.561,0.948,0.776,0.609,0.006,0.614,247.502,-2.339
752.0,4,3,36,0.14,0.692,0.431,0.87,0.396,0.616,0.431,0.87,0.002,0.902,247.609,-1.918
