Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
8,0,0,87,-0.14,0.433,0.371,0.913,1990.597,0.292,0.0,0.0,0.0,0.893,2206.652,-0.292
8,0,1,18,-0.08,0.433,0.035,0.522,8391.245,0.292,0.0,0.0,0.0,0.553,2233.72,-0.292
8,0,2,55,-0.02,0.433,0.144,0.174,15326.082,0.292,0.0,0.0,0.0,0.178,2219.252,-0.292
8,1,0,42,0.0,0.433,0.092,0.043,16440.089,0.292,0.0,0.0,0.0,0.12,2224.292,-0.292
8,1,1,15,-0.08,0.433,0.035,0.522,8508.873,0.292,0.0,0.0,0.0,0.547,2234.989,-0.292
8,1,2,10,-0.12,0.433,0.047,0.783,3878.373,0.292,0.0,0.0,0.0,0.794,2236.891,-0.292
8,2,0,24,-0.1,0.433,0.04,0.652,5991.541,0.292,0.0,0.0,0.0,0.68,2231.423,-0.292
8,2,1,14,-0.14,0.433,0.051,0.87,1286.057,0.292,0.0,0.0,0.0,0.932,2235.344,-0.292
8,2,2,4,-0.14,0.433,0.051,0.87,1365.155,0.292,0.0,0.0,0.0,0.927,2238.955,-0.292
8,3,0,0,-0.14,0.433,0.051,0.87,1426.005,0.292,0.0,0.0,0.0,0.924,2240.886,-0.292
8,3,1,0,-0.05,0.433,0.095,0.304,13160.064,0.292,0.0,0.0,0.0,0.301,2240.886,-0.292
8,3,2,7,-0.11,0.433,0.04,0.696,5222.019,0.292,0.0,0.0,0.0,0.722,2237.975,-0.292
