Unnamed: 0,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio,PVG
589,1402,19,-0.05,0.30434783,0.7292,0.2708,402.8208058717912
590,1403,87,0.07,0.73913043,0.5589,0.4411,341.27140872762004
591,1404,65,-0.13,0.86956522,0.2464,0.7536,487.84830088353584
592,1405,51,-0.07,0.47826087,0.5935,0.4065,511.0843212323014
593,1406,32,0.12,0.73913043,0.2663,0.7337,466.7230455632243
594,1407,47,-0.02,0.17391304,0.9019,0.0981,360.8599085794514
595,1408,84,-0.04,0.39130435,0.7561,0.2439,160.75021194450355
596,1409,63,0.04,0.30434783,0.7525,0.2475,56.63412579798698
597,1410,42,-0.04,0.26086957,0.7779,0.2221,0.0
598,1423,59,-0.04,0.26086957,0.7083,0.2917,26.623293526000662
599,1424,50,-0.09,0.60869565,0.5163,0.4837,111.8675871856306
600,1425,88,0.01,0.52173913,0.7825,0.2175,177.74522394155122
601,1426,65,0.08,0.52173913,0.5163,0.4837,324.3546779226451
602,1427,30,0.14,0.86956522,0.1479,0.8521,366.5511092000232
603,1428,2,-0.05,0.30434783,0.7022,0.2978,300.2640057820213
604,1429,15,-0.03,0.17391304,0.8374,0.1626,395.2875875176394
605,1430,10,-0.06,0.39130435,0.6626,0.3374,288.18886094573367
606,1431,58,-0.03,0.2173913,0.8435,0.1565,237.60575294127827
607,1432,64,-0.05,0.34782609,0.7078,0.2922,128.6332260441405
608,1433,57,0.04,0.30434783,0.7541,0.2459,30.167046896158748
609,1434,7,0.05,0.26086957,0.779,0.221,0.0
610,1447,12,-0.05,0.30434783,0.779,0.221,18.948752881754213
611,1448,21,-0.09,0.56521739,0.5315,0.4685,72.75314783305579
612,1449,17,0.03,0.13043478,0.811,0.189,127.21625736807152
613,1450,5,0.12,0.73913043,0.2851,0.7149,195.41431030603812
614,1451,18,0.09,0.56521739,0.4451,0.5549,307.83116996613484
615,1452,1,-0.1,0.65217391,0.405,0.595,319.7298702835449
616,1453,48,0.14,0.86956522,0.126,0.874,329.57348036135426
617,1454,47,-0.05,0.34782609,0.7221,0.2779,248.51665122176863
618,1455,13,-0.06,0.39130435,0.6707,0.3293,207.4041822534634
619,1456,38,-0.08,0.52173913,0.5655,0.4345,119.25099833263141
620,1457,5,0.07,0.39130435,0.6072,0.3928,41.44850215997292
621,1458,51,-0.02,0.17391304,0.7581,0.2419,0.0
622,1471,52,0.01,0.17391304,0.8201,0.1799,29.144759237228993
623,1472,9,-0.07,0.43478261,0.6352,0.3648,80.94000908730891
624,1473,3,0.04,0.2173913,0.7602,0.2398,167.39072906828017
625,1474,38,0.1,0.60869565,0.4009,0.5991,316.8614009540465
626,1475,25,-0.03,0.2173913,0.841,0.159,333.1796775807347
627,1476,0,-0.02,0.13043478,0.8806,0.1194,326.1183160513293
628,1477,37,0.0,0.13043478,0.9797,0.0203,392.66791814313
629,1478,36,0.01,0.04347826,0.9202,0.0798,327.0030393305651
630,1479,74,0.14,0.91304348,0.1687,0.8313,219.03737592011518
631,1480,45,0.04,0.2173913,0.753,0.247,119.34296908804181
632,1481,33,-0.05,0.34782609,0.7312,0.2688,25.411798818246087
633,1482,75,0.01,0.30434783,0.5539,0.4461,0.0
634,1495,0,-0.05,0.30434783,0.779,0.221,28.826271926564168
635,1496,19,-0.03,0.17391304,0.8425,0.1575,121.37988304174237
636,1497,23,-0.08,0.52173913,0.5777,0.4223,228.162941495549
637,1498,51,0.05,0.26086957,0.6905,0.3095,303.05298044414064
638,1499,31,-0.02,0.13043478,0.9004,0.0996,380.63806753441776
639,1500,1,0.14,0.86956522,0.1474,0.8526,279.3598176042613
640,1501,15,0.02,0.08695652,0.8577,0.1423,390.0302873085833
641,1502,49,-0.03,0.2173913,0.841,0.159,335.98786550466576
642,1503,51,0.0,0.17391304,0.9797,0.0203,280.72407048042317
643,1504,32,0.04,0.2173913,0.7546,0.2454,160.86674159358364
644,1505,23,0.02,0.08695652,0.874,0.126,36.69298331440289
645,1506,8,0.08,0.47826087,0.6585,0.3415,0.0
646,1519,42,0.07,0.39130435,0.6834,0.3166,39.18238098536461
647,1520,55,-0.06,0.39130435,0.686,0.314,143.73447718400485
648,1521,28,0.02,0.08695652,0.8699,0.1301,272.61689411938585
649,1522,47,-0.01,0.13043478,0.9522,0.0478,377.1866687403429
650,1523,32,-0.04,0.26086957,0.7815,0.2185,442.2203274005146
651,1524,40,0.1,0.60869565,0.3852,0.6148,472.1758027764073
652,1525,50,0.13,0.82608696,0.187,0.813,390.25945392017593
653,1526,7,-0.07,0.43478261,0.5833,0.4167,328.7652096238632
654,1527,78,0.11,0.73913043,0.342,0.658,255.6165745054043
655,1528,26,0.04,0.2173913,0.7546,0.2454,172.98787406421658
656,1529,65,-0.07,0.47826087,0.6311,0.3689,41.922510090817916
657,1530,83,-0.01,0.47826087,0.5097,0.4903,0.0
658,1543,57,-0.06,0.39130435,0.7231,0.2769,38.4909082866912
659,1544,0,-0.04,0.26086957,0.7907,0.2094,138.29626708352896
660,1545,18,0.01,0.0,0.9248,0.0752,272.7253402057389
661,1546,83,-0.13,0.86956522,0.2449,0.7551,313.01053919804997
662,1547,17,-0.08,0.52173913,0.5442,0.4558,415.50861345786006
663,1548,41,-0.05,0.34782609,0.7221,0.2779,458.277377692748
664,1549,23,0.13,0.82608696,0.187,0.813,423.0075090413474
665,1550,20,0.1,0.60869565,0.3852,0.6148,333.07862162137593
666,1551,70,-0.04,0.34782609,0.782,0.218,250.52128467125152
667,1552,90,-0.1,0.69565217,0.4319,0.5681,75.72738178800371
668,1553,63,-0.02,0.26086957,0.8786,0.1214,40.66010831880743
669,1554,66,0.06,0.47826087,0.6905,0.3095,0.0
670,1567,63,-0.08,0.52173913,0.6438,0.3562,35.56678984515852
671,1568,19,-0.02,0.13043478,0.8943,0.1057,84.19674433780607
672,1569,62,0.02,0.2173913,0.8653,0.1347,199.5102822566119
673,1570,57,-0.01,0.17391304,0.9502,0.0498,286.1591652815123
674,1571,12,-0.14,0.91304348,0.1875,0.8125,288.42178660941477
675,1572,70,0.1,0.65217391,0.3852,0.6148,350.4702277703611
676,1573,33,0.01,0.04347826,0.9187,0.0813,368.26035060554864
677,1574,77,0.03,0.43478261,0.7998,0.2002,293.81515427560976
678,1575,5,-0.05,0.30434783,0.7094,0.2907,177.8622273912804
