Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
8,0,0,26,-0.01,1.0,0.0,0.087,15389.306,1.0,0.0,0.087,1.145,0.179,2230.401,-2.232
8,0,1,72,0.02,1.0,0.003,0.304,17952.504,1.0,0.003,0.304,1.335,0.034,2212.469,-2.643
8,0,2,72,0.07,0.938,0.165,0.522,11521.673,0.922,0.165,0.522,0.857,0.38,2212.633,-2.465
8,1,0,59,0.06,1.0,0.178,0.435,11314.87,1.0,0.178,0.435,0.842,0.393,2217.675,-2.455
8,1,1,51,0.06,1.0,0.178,0.348,10765.905,1.0,0.178,0.348,0.801,0.423,2220.855,-2.327
8,1,2,90,-0.02,0.914,0.102,0.565,18527.109,0.893,0.102,0.565,1.378,0.0,2205.608,-2.937
8,2,0,90,-0.08,0.812,0.197,0.565,14046.141,0.766,0.197,0.565,1.045,0.242,2205.608,-2.572
8,2,1,59,-0.05,1.0,0.047,0.348,12521.153,1.0,0.047,0.348,0.931,0.328,2217.408,-2.326
8,2,2,68,0.01,1.0,0.003,0.304,18357.032,1.0,0.003,0.304,1.365,0.013,2213.863,-2.672
8,3,0,81,-0.1,0.723,0.178,0.696,8512.999,0.654,0.178,0.696,0.633,0.541,2208.993,-2.16
8,3,1,65,-0.02,1.0,0.003,0.261,16573.441,1.0,0.003,0.261,1.233,0.109,2215.3,-2.496
8,3,2,70,0.06,1.0,0.186,0.478,12600.395,1.0,0.186,0.478,0.937,0.322,2213.244,-2.601
9,0,0,64,0.03,0.983,0.574,0.304,59235.693,0.979,0.574,0.304,1.382,0.0,7051.868,-3.24
9,0,1,7,-0.06,0.853,0.382,0.391,40161.302,0.816,0.382,0.391,0.937,0.33,7130.825,-2.527
9,0,2,62,0.01,0.95,0.515,0.174,59265.657,0.938,0.515,0.174,1.383,0.0,7055.435,-3.011
9,1,0,62,0.12,0.711,0.536,0.783,18628.806,0.638,0.536,0.783,0.435,0.686,7055.188,-2.392
9,1,1,12,-0.02,0.971,0.124,0.13,52672.886,0.964,0.124,0.13,1.229,0.12,7124.144,-2.447
9,1,2,72,0.02,0.974,0.54,0.304,59148.093,0.967,0.54,0.304,1.38,0.0,7041.44,-3.192
9,2,0,51,0.05,0.904,0.531,0.261,48223.218,0.88,0.531,0.261,1.125,0.188,7069.725,-2.797
9,2,1,11,0.02,0.983,0.319,0.087,52809.75,0.979,0.319,0.087,1.232,0.118,7126.433,-2.617
9,2,2,42,-0.06,0.854,0.467,0.391,41830.234,0.817,0.467,0.391,0.976,0.297,7082.561,-2.652
9,3,0,55,0.12,0.714,0.532,0.783,17325.065,0.643,0.532,0.783,0.404,0.708,7064.364,-2.361
9,3,1,45,0.01,0.984,0.314,0.087,59139.874,0.98,0.314,0.087,1.38,0.005,7077.889,-2.761
9,3,2,79,0.01,0.978,0.604,0.435,59067.728,0.973,0.604,0.435,1.378,0.0,7031.872,-3.39
10,0,0,20,-0.06,0.812,0.645,0.391,105212.937,0.766,0.645,0.391,0.904,0.353,19347.121,-2.706
10,0,1,7,-0.14,0.391,0.303,0.913,13733.881,0.239,0.303,0.913,0.118,0.916,19384.937,-1.573
10,0,2,43,-0.08,0.717,0.667,0.522,89754.426,0.647,0.667,0.522,0.771,0.446,19280.68,-2.607
10,1,0,65,-0.1,0.5,0.559,0.652,81110.645,0.374,0.559,0.652,0.697,0.498,19216.147,-2.282
10,1,1,0,-0.1,0.504,0.636,0.652,66108.764,0.38,0.636,0.652,0.568,0.594,19406.946,-2.236
10,1,2,28,-0.13,0.458,0.299,0.826,26616.282,0.322,0.299,0.826,0.229,0.836,19324.077,-1.676
10,2,0,20,-0.11,0.563,0.379,0.696,51156.109,0.454,0.379,0.696,0.439,0.685,19346.393,-1.969
10,2,1,45,-0.13,0.447,0.233,0.826,28276.105,0.308,0.233,0.826,0.243,0.825,19275.989,-1.61
10,2,2,42,-0.1,0.602,0.571,0.652,66193.075,0.502,0.571,0.652,0.568,0.591,19283.19,-2.293
10,3,0,23,-0.06,0.812,0.645,0.391,105253.649,0.766,0.645,0.391,0.904,0.352,19339.404,-2.706
10,3,1,15,0.0,1.0,0.015,0.0,156042.917,1.0,0.015,0.0,1.34,0.041,19361.198,-2.355
10,3,2,25,-0.14,0.43,0.277,0.913,13479.037,0.288,0.277,0.913,0.116,0.917,19332.257,-1.594
11,0,0,74,0.0,0.783,0.752,0.391,133000.899,0.728,0.752,0.391,1.38,0.0,15833.44,-3.252
11,0,1,88,-0.07,0.683,0.628,0.478,105929.183,0.603,0.628,0.478,1.099,0.201,15790.02,-2.808
11,0,2,59,-0.03,0.995,0.854,0.217,103643.932,0.994,0.854,0.217,1.075,0.223,15879.081,-3.141
11,1,0,62,-0.1,0.549,0.437,0.652,46774.444,0.436,0.437,0.652,0.485,0.649,15871.188,-2.011
11,1,1,87,-0.1,0.482,0.431,0.696,66619.628,0.352,0.431,0.696,0.691,0.498,15792.869,-2.17
11,1,2,65,-0.01,0.888,0.967,0.261,124932.95,0.86,0.967,0.261,1.296,0.062,15860.237,-3.384
11,2,0,79,-0.07,0.707,0.615,0.478,89952.833,0.634,0.615,0.478,0.933,0.323,15816.462,-2.661
