Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
3630.0,0,0,60,-0.07,1.0,1.0,0.478,0.589,1.0,1.0,0.478,0.009,0.0,42.475,-2.487
3630.0,0,1,48,-0.07,1.0,1.0,0.478,0.532,1.0,1.0,0.478,0.008,0.095,42.387,-2.486
3630.0,0,2,76,0.05,1.0,1.0,0.783,0.591,1.0,1.0,0.783,0.009,0.0,42.6,-2.792
3630.0,0,3,45,0.04,1.0,1.0,0.217,0.588,1.0,1.0,0.217,0.009,0.0,42.369,-2.226
3630.0,0,4,67,-0.1,1.0,1.0,0.652,0.543,1.0,1.0,0.652,0.008,0.08,42.533,-2.66
3630.0,0,5,7,0.12,1.0,1.0,0.739,0.209,1.0,1.0,0.739,0.003,0.643,42.082,-2.742
3630.0,0,6,43,-0.11,1.0,1.0,0.696,0.313,1.0,1.0,0.696,0.005,0.468,42.352,-2.7
3630.0,0,7,67,-0.13,1.0,1.0,0.87,0.258,1.0,1.0,0.87,0.004,0.562,42.534,-2.874
3630.0,0,8,79,0.1,1.0,1.0,0.783,0.591,1.0,1.0,0.783,0.009,0.0,42.622,-2.792
3630.0,0,9,28,-0.12,1.0,1.0,0.783,0.222,1.0,1.0,0.783,0.003,0.622,42.238,-2.786
3630.0,1,0,57,0.04,1.0,1.0,0.304,0.589,1.0,1.0,0.304,0.009,0.0,42.455,-2.313
3630.0,1,1,41,-0.01,1.0,1.0,0.087,0.587,1.0,1.0,0.087,0.009,0.0,42.339,-2.096
3630.0,1,2,71,-0.09,1.0,1.0,0.609,0.591,1.0,1.0,0.609,0.009,0.0,42.563,-2.618
3630.0,1,3,90,0.01,1.0,1.0,0.565,0.592,1.0,1.0,0.565,0.009,0.0,42.699,-2.574
3630.0,1,4,90,0.04,1.0,1.0,0.652,0.592,1.0,1.0,0.652,0.009,0.0,42.699,-2.661
