Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
752.0,0,0,69,-0.07,0.871,0.1,0.478,0.766,0.839,0.1,0.478,0.008,0.286,71.158,-1.425
752.0,0,1,31,0.14,0.861,0.1,0.87,0.085,0.826,0.1,0.87,0.001,0.92,70.714,-1.797
752.0,0,2,86,-0.02,0.941,0.1,0.522,1.076,0.927,0.1,0.522,0.011,0.0,71.348,-1.56
752.0,0,3,14,-0.0,1.0,0.1,0.0,1.002,1.0,0.1,0.0,0.01,0.058,70.509,-1.11
752.0,0,4,24,-0.05,1.0,0.1,0.304,0.727,1.0,0.1,0.304,0.008,0.318,70.628,-1.412
752.0,0,5,28,0.06,1.0,0.1,0.348,0.667,1.0,0.1,0.348,0.007,0.375,70.674,-1.455
752.0,0,6,66,-0.0,1.0,0.1,0.304,1.073,1.0,0.1,0.304,0.011,0.0,71.121,-1.416
752.0,0,7,39,0.01,1.0,0.1,0.043,0.961,1.0,0.1,0.043,0.01,0.101,70.805,-1.153
752.0,0,8,52,-0.04,1.0,0.1,0.261,0.847,1.0,0.1,0.261,0.009,0.209,70.953,-1.37
752.0,0,9,67,-0.02,1.0,0.1,0.261,1.073,1.0,0.1,0.261,0.011,0.0,71.134,-1.372
752.0,1,0,24,0.05,1.0,0.1,0.261,0.727,1.0,0.1,0.261,0.008,0.318,70.633,-1.368
752.0,1,1,76,-0.0,1.0,0.1,0.391,1.075,1.0,0.1,0.391,0.011,0.0,71.238,-1.502
752.0,1,2,52,0.01,1.0,0.1,0.174,1.013,1.0,0.1,0.174,0.011,0.053,70.95,-1.284
752.0,1,3,37,0.11,0.867,0.1,0.696,0.328,0.833,0.1,0.696,0.003,0.693,70.784,-1.632
752.0,1,4,0,0.0,1.0,0.1,0.0,1.061,1.0,0.1,0.0,0.011,0.0,70.342,-1.111
752.0,1,5,45,0.08,1.0,0.1,0.478,0.561,1.0,0.1,0.478,0.006,0.475,70.878,-1.584
752.0,1,6,51,0.11,0.867,0.1,0.696,0.349,0.833,0.1,0.696,0.004,0.674,70.949,-1.633
752.0,1,7,26,0.14,0.861,0.1,0.87,0.085,0.826,0.1,0.87,0.001,0.92,70.653,-1.797
752.0,1,8,44,0.1,0.875,0.1,0.609,0.413,0.844,0.1,0.609,0.004,0.613,70.866,-1.557
752.0,1,9,22,0.12,0.866,0.1,0.739,0.247,0.833,0.1,0.739,0.003,0.769,70.609,-1.674
752.0,2,0,73,0.06,1.0,0.1,0.522,0.886,1.0,0.1,0.522,0.009,0.175,71.198,-1.631
752.0,2,1,38,0.06,1.0,0.1,0.348,0.678,1.0,0.1,0.348,0.007,0.365,70.794,-1.455
752.0,2,2,84,0.02,0.971,0.1,0.478,1.076,0.964,0.1,0.478,0.011,0.0,71.332,-1.553
752.0,2,3,52,0.14,0.866,0.1,0.913,0.092,0.832,0.1,0.913,0.001,0.914,70.961,-1.846
752.0,2,4,57,0.08,1.0,0.1,0.522,0.602,1.0,0.1,0.522,0.006,0.438,71.013,-1.628
752.0,2,5,60,0.01,1.0,0.1,0.174,1.072,1.0,0.1,0.174,0.011,0.0,71.051,-1.285
752.0,2,6,25,0.14,0.861,0.1,0.87,0.085,0.826,0.1,0.87,0.001,0.92,70.635,-1.797
752.0,2,7,11,0.11,0.866,0.1,0.696,0.33,0.832,0.1,0.696,0.003,0.689,70.481,-1.632
752.0,2,8,4,0.14,0.855,0.1,0.87,0.09,0.819,0.1,0.87,0.001,0.916,70.39,-1.789
752.0,2,9,7,0.08,1.0,0.1,0.478,0.556,1.0,0.1,0.478,0.006,0.477,70.435,-1.584
752.0,3,0,28,0.14,0.861,0.1,0.87,0.085,0.826,0.1,0.87,0.001,0.92,70.674,-1.797
752.0,3,1,74,0.14,0.864,0.1,0.913,0.116,0.829,0.1,0.913,0.001,0.892,71.207,-1.844
752.0,3,2,41,0.01,1.0,0.1,0.043,0.966,1.0,0.1,0.043,0.01,0.096,70.825,-1.154
752.0,3,3,85,0.12,0.858,0.1,0.826,0.422,0.823,0.1,0.826,0.004,0.608,71.344,-1.753
752.0,3,4,30,0.14,0.861,0.1,0.87,0.085,0.826,0.1,0.87,0.001,0.92,70.693,-1.797
752.0,3,5,23,0.04,1.0,0.1,0.217,0.785,1.0,0.1,0.217,0.008,0.263,70.623,-1.326
752.0,3,6,58,0.14,0.866,0.1,0.913,0.097,0.832,0.1,0.913,0.001,0.91,71.031,-1.846
752.0,3,7,48,0.13,0.855,0.1,0.826,0.177,0.819,0.1,0.826,0.002,0.834,70.914,-1.747
752.0,3,8,47,0.14,0.855,0.1,0.87,0.089,0.819,0.1,0.87,0.001,0.916,70.896,-1.79
752.0,3,9,67,0.14,0.866,0.1,0.913,0.106,0.832,0.1,0.913,0.001,0.901,71.134,-1.846
752.0,4,0,29,0.04,1.0,0.1,0.217,0.786,1.0,0.1,0.217,0.008,0.263,70.693,-1.326
752.0,4,1,46,0.14,0.855,0.1,0.87,0.089,0.819,0.1,0.87,0.001,0.917,70.888,-1.79
752.0,4,2,78,0.12,0.864,0.1,0.783,0.363,0.83,0.1,0.783,0.004,0.662,71.263,-1.717
752.0,4,3,42,0.14,0.855,0.1,0.87,0.087,0.819,0.1,0.87,0.001,0.918,70.834,-1.789
752.0,4,4,29,0.08,1.0,0.1,0.478,0.538,1.0,0.1,0.478,0.006,0.496,70.684,-1.584
752.0,4,5,56,0.14,0.866,0.1,0.913,0.095,0.832,0.1,0.913,0.001,0.911,71.005,-1.846
752.0,4,6,45,0.14,0.855,0.1,0.87,0.089,0.819,0.1,0.87,0.001,0.917,70.878,-1.789
752.0,4,7,52,0.07,1.0,0.1,0.435,0.652,1.0,0.1,0.435,0.007,0.391,70.951,-1.542
752.0,4,8,90,0.14,0.845,0.1,0.913,0.163,0.806,0.1,0.913,0.002,0.848,71.391,-1.821
752.0,4,9,69,0.14,0.866,0.1,0.913,0.108,0.832,0.1,0.913,0.001,0.9,71.149,-1.846
752.0,5,0,62,0.07,1.0,0.1,0.435,0.703,1.0,0.1,0.435,0.007,0.344,71.067,-1.542
752.0,5,1,55,0.14,0.866,0.1,0.913,0.094,0.832,0.1,0.913,0.001,0.912,70.995,-1.846
752.0,5,2,90,0.12,0.858,0.1,0.913,0.472,0.823,0.1,0.913,0.005,0.562,71.391,-1.841
752.0,5,3,61,0.08,1.0,0.1,0.522,0.625,1.0,0.1,0.522,0.006,0.417,71.062,-1.628
