Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
5094.0,0,0,54,0.0,1.0,1.0,0.217,0.503,1.0,1.0,0.217,0.009,0.0,36.143,-2.227
5094.0,0,1,72,0.07,1.0,1.0,0.522,0.504,1.0,1.0,0.522,0.009,0.0,36.257,-2.531
5094.0,0,2,7,-0.04,1.0,1.0,0.261,0.499,1.0,1.0,0.261,0.009,0.0,35.85,-2.27
5094.0,0,3,29,0.09,1.0,1.0,0.565,0.501,1.0,1.0,0.565,0.009,0.0,35.987,-2.574
5094.0,0,4,65,0.02,1.0,1.0,0.304,0.504,1.0,1.0,0.304,0.009,0.0,36.213,-2.314
5094.0,0,5,55,-0.05,1.0,1.0,0.348,0.503,1.0,1.0,0.348,0.009,0.0,36.146,-2.357
5094.0,0,6,84,-0.11,1.0,1.0,0.739,0.505,1.0,1.0,0.739,0.009,0.0,36.326,-2.748
5094.0,0,7,0,-0.07,1.0,1.0,0.435,0.498,1.0,1.0,0.435,0.009,0.0,35.804,-2.444
5094.0,0,8,56,-0.09,1.0,1.0,0.609,0.503,1.0,1.0,0.609,0.009,0.0,36.154,-2.618
5094.0,0,9,81,0.08,1.0,1.0,0.739,0.505,1.0,1.0,0.739,0.009,0.0,36.311,-2.748
5094.0,1,0,78,0.14,1.0,1.0,0.913,0.297,1.0,1.0,0.913,0.005,0.411,36.294,-2.918
5094.0,1,1,46,0.14,1.0,1.0,0.87,0.217,1.0,1.0,0.87,0.004,0.567,36.094,-2.874
5094.0,1,2,52,-0.07,1.0,1.0,0.478,0.503,1.0,1.0,0.478,0.009,0.0,36.13,-2.487
5094.0,1,3,15,0.12,1.0,1.0,0.739,0.499,1.0,1.0,0.739,0.009,0.0,35.9,-2.748
5094.0,1,4,38,-0.12,1.0,1.0,0.783,0.501,1.0,1.0,0.783,0.009,0.0,36.04,-2.792
5094.0,1,5,68,-0.06,1.0,1.0,0.391,0.504,1.0,1.0,0.391,0.009,0.0,36.227,-2.4
5094.0,1,6,39,-0.14,1.0,1.0,0.913,0.213,1.0,1.0,0.913,0.004,0.574,36.046,-2.917
5094.0,1,7,43,-0.08,1.0,1.0,0.522,0.502,1.0,1.0,0.522,0.009,0.0,36.073,-2.531
5094.0,1,8,32,0.05,1.0,1.0,0.261,0.501,1.0,1.0,0.261,0.009,0.0,36.003,-2.27
5094.0,1,9,81,0.09,1.0,1.0,0.739,0.505,1.0,1.0,0.739,0.009,0.0,36.313,-2.748
5094.0,2,0,71,0.14,1.0,1.0,0.913,0.255,1.0,1.0,0.913,0.005,0.494,36.25,-2.918
5094.0,2,1,40,0.14,1.0,1.0,0.87,0.214,1.0,1.0,0.87,0.004,0.574,36.053,-2.873
5094.0,2,2,90,-0.1,1.0,1.0,0.696,0.506,1.0,1.0,0.696,0.009,0.0,36.363,-2.705
5094.0,2,3,28,0.02,1.0,1.0,0.087,0.5,1.0,1.0,0.087,0.009,0.0,35.982,-2.096
5094.0,2,4,24,-0.13,1.0,1.0,0.826,0.39,1.0,1.0,0.826,0.007,0.219,35.953,-2.833
5094.0,2,5,49,-0.11,1.0,1.0,0.696,0.502,1.0,1.0,0.696,0.009,0.0,36.108,-2.705
5094.0,2,6,36,-0.14,1.0,1.0,0.913,0.212,1.0,1.0,0.913,0.004,0.576,36.029,-2.917
5094.0,2,7,11,-0.08,1.0,1.0,0.522,0.499,1.0,1.0,0.522,0.009,0.0,35.877,-2.531
5094.0,2,8,90,0.05,1.0,1.0,0.783,0.506,1.0,1.0,0.783,0.009,0.0,36.363,-2.792
5094.0,2,9,82,0.14,1.0,1.0,0.913,0.34,1.0,1.0,0.913,0.006,0.326,36.313,-2.919
5094.0,3,0,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,3,1,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,3,2,90,0.04,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,3,3,11,0.14,1.0,1.0,0.87,0.207,1.0,1.0,0.87,0.004,0.586,35.875,-2.873
5094.0,3,4,51,-0.14,1.0,1.0,0.913,0.22,1.0,1.0,0.913,0.004,0.561,36.123,-2.917
5094.0,3,5,19,-0.14,1.0,1.0,0.913,0.208,1.0,1.0,0.913,0.004,0.584,35.927,-2.917
5094.0,3,6,63,-0.08,1.0,1.0,0.522,0.503,1.0,1.0,0.522,0.009,0.0,36.196,-2.531
5094.0,3,7,47,0.06,1.0,1.0,0.348,0.502,1.0,1.0,0.348,0.009,0.0,36.096,-2.357
5094.0,3,8,90,-0.02,1.0,1.0,0.565,0.506,1.0,1.0,0.565,0.009,0.0,36.363,-2.574
5094.0,3,9,65,0.13,1.0,1.0,0.87,0.415,1.0,1.0,0.87,0.008,0.175,36.209,-2.877
5094.0,4,0,78,0.14,1.0,1.0,0.913,0.298,1.0,1.0,0.913,0.005,0.409,36.295,-2.918
5094.0,4,1,63,0.14,1.0,1.0,0.913,0.234,1.0,1.0,0.913,0.004,0.535,36.197,-2.917
5094.0,4,2,67,0.04,1.0,1.0,0.304,0.504,1.0,1.0,0.304,0.009,0.0,36.223,-2.314
5094.0,4,3,7,0.14,1.0,1.0,0.87,0.206,1.0,1.0,0.87,0.004,0.586,35.851,-2.873
5094.0,4,4,6,-0.05,1.0,1.0,0.304,0.499,1.0,1.0,0.304,0.009,0.0,35.843,-2.313
5094.0,4,5,39,-0.13,1.0,1.0,0.826,0.395,1.0,1.0,0.826,0.007,0.212,36.049,-2.833
5094.0,4,6,53,-0.09,1.0,1.0,0.609,0.503,1.0,1.0,0.609,0.009,0.0,36.135,-2.618
5094.0,4,7,77,0.06,1.0,1.0,0.609,0.505,1.0,1.0,0.609,0.009,0.0,36.287,-2.618
5094.0,4,8,71,0.13,1.0,1.0,0.87,0.428,1.0,1.0,0.87,0.008,0.15,36.247,-2.877
5094.0,4,9,70,0.13,1.0,1.0,0.87,0.426,1.0,1.0,0.87,0.008,0.156,36.24,-2.877
5094.0,5,0,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,5,1,62,0.14,1.0,1.0,0.913,0.232,1.0,1.0,0.913,0.004,0.538,36.19,-2.917
5094.0,5,2,90,0.04,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,5,3,37,0.14,1.0,1.0,0.87,0.213,1.0,1.0,0.87,0.004,0.575,36.038,-2.873
5094.0,5,4,47,-0.1,1.0,1.0,0.652,0.502,1.0,1.0,0.652,0.009,0.0,36.099,-2.661
5094.0,5,5,12,-0.14,1.0,1.0,0.913,0.207,1.0,1.0,0.913,0.004,0.585,35.881,-2.917
5094.0,5,6,19,-0.12,1.0,1.0,0.783,0.5,1.0,1.0,0.783,0.009,0.0,35.923,-2.792
5094.0,5,7,55,0.03,1.0,1.0,0.261,0.503,1.0,1.0,0.261,0.009,0.0,36.151,-2.27
5094.0,5,8,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,5,9,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,6,0,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,6,1,90,0.05,1.0,1.0,0.783,0.506,1.0,1.0,0.783,0.009,0.0,36.363,-2.792
5094.0,6,2,90,0.0,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,6,3,68,0.14,1.0,1.0,0.913,0.245,1.0,1.0,0.913,0.004,0.514,36.23,-2.918
5094.0,6,4,84,0.0,1.0,1.0,0.522,0.505,1.0,1.0,0.522,0.009,0.0,36.331,-2.531
5094.0,6,5,22,0.0,1.0,1.0,0.043,0.5,1.0,1.0,0.043,0.009,0.0,35.942,-2.053
5094.0,6,6,84,0.0,1.0,1.0,0.522,0.505,1.0,1.0,0.522,0.009,0.0,36.326,-2.531
5094.0,6,7,72,0.09,1.0,1.0,0.652,0.504,1.0,1.0,0.652,0.009,0.0,36.257,-2.661
5094.0,6,8,62,0.14,1.0,1.0,0.913,0.233,1.0,1.0,0.913,0.004,0.538,36.191,-2.917
5094.0,6,9,90,0.06,1.0,1.0,0.783,0.506,1.0,1.0,0.783,0.009,0.0,36.363,-2.792
5094.0,7,0,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,7,1,65,0.13,1.0,1.0,0.87,0.416,1.0,1.0,0.87,0.008,0.174,36.21,-2.877
5094.0,7,2,90,-0.07,1.0,1.0,0.522,0.506,1.0,1.0,0.522,0.009,0.0,36.363,-2.531
5094.0,7,3,80,0.05,1.0,1.0,0.783,0.505,1.0,1.0,0.783,0.009,0.0,36.306,-2.792
5094.0,7,4,45,-0.04,1.0,1.0,0.261,0.502,1.0,1.0,0.261,0.009,0.0,36.088,-2.27
5094.0,7,5,64,0.0,1.0,1.0,0.304,0.504,1.0,1.0,0.304,0.009,0.0,36.207,-2.314
5094.0,7,6,84,0.0,1.0,1.0,0.522,0.505,1.0,1.0,0.522,0.009,0.0,36.326,-2.531
5094.0,7,7,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,7,8,90,0.08,1.0,1.0,0.739,0.506,1.0,1.0,0.739,0.009,0.0,36.363,-2.748
5094.0,7,9,88,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.355,-2.922
5094.0,8,0,90,0.09,1.0,1.0,0.87,0.506,1.0,1.0,0.87,0.009,0.0,36.363,-2.879
5094.0,8,1,90,0.1,1.0,1.0,1.0,0.506,1.0,1.0,1.0,0.009,0.0,36.363,-3.009
5094.0,8,2,90,-0.14,1.0,1.0,0.957,0.506,1.0,1.0,0.957,0.009,0.0,36.363,-2.966
5094.0,8,3,85,0.14,1.0,1.0,0.913,0.441,1.0,1.0,0.913,0.008,0.127,36.333,-2.921
5094.0,8,4,90,-0.09,1.0,1.0,0.609,0.506,1.0,1.0,0.609,0.009,0.0,36.363,-2.618
5094.0,8,5,64,0.0,1.0,1.0,0.304,0.504,1.0,1.0,0.304,0.009,0.0,36.207,-2.314
5094.0,8,6,53,-0.12,1.0,1.0,0.783,0.503,1.0,1.0,0.783,0.009,0.0,36.136,-2.792
5094.0,8,7,84,0.09,1.0,1.0,0.783,0.505,1.0,1.0,0.783,0.009,0.0,36.327,-2.792
5094.0,8,8,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,8,9,90,0.09,1.0,1.0,0.87,0.506,1.0,1.0,0.87,0.009,0.0,36.363,-2.879
5094.0,9,0,90,0.13,1.0,1.0,0.957,0.506,1.0,1.0,0.957,0.009,0.0,36.363,-2.966
5094.0,9,1,90,0.04,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,9,2,85,0.0,1.0,1.0,0.565,0.505,1.0,1.0,0.565,0.009,0.0,36.337,-2.574
5094.0,9,3,85,0.14,1.0,1.0,0.913,0.477,1.0,1.0,0.913,0.009,0.057,36.337,-2.922
5094.0,9,4,47,-0.11,1.0,1.0,0.696,0.502,1.0,1.0,0.696,0.009,0.0,36.101,-2.705
5094.0,9,5,36,0.0,1.0,1.0,0.13,0.501,1.0,1.0,0.13,0.009,0.0,36.033,-2.14
5094.0,9,6,84,0.0,1.0,1.0,0.522,0.505,1.0,1.0,0.522,0.009,0.0,36.326,-2.531
5094.0,9,7,90,0.06,1.0,1.0,0.783,0.506,1.0,1.0,0.783,0.009,0.0,36.363,-2.792
5094.0,9,8,68,0.05,1.0,1.0,0.652,0.504,1.0,1.0,0.652,0.009,0.0,36.229,-2.661
5094.0,9,9,90,0.04,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,10,0,90,0.06,1.0,1.0,0.783,0.506,1.0,1.0,0.783,0.009,0.0,36.363,-2.792
5094.0,10,1,90,0.03,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,10,2,90,0.0,1.0,1.0,0.652,0.506,1.0,1.0,0.652,0.009,0.0,36.363,-2.661
5094.0,10,3,90,0.1,1.0,1.0,1.0,0.506,1.0,1.0,1.0,0.009,0.0,36.363,-3.009
5094.0,10,4,69,0.0,1.0,1.0,0.348,0.504,1.0,1.0,0.348,0.009,0.0,36.236,-2.357
5094.0,10,5,1,0.0,1.0,1.0,0.0,0.498,1.0,1.0,0.0,0.009,0.0,35.81,-2.009
5094.0,10,6,61,-0.09,1.0,1.0,0.609,0.503,1.0,1.0,0.609,0.009,0.0,36.187,-2.618
5094.0,10,7,82,0.14,1.0,1.0,0.913,0.358,1.0,1.0,0.913,0.007,0.291,36.319,-2.92
5094.0,10,8,90,0.14,1.0,1.0,0.913,0.506,1.0,1.0,0.913,0.009,0.0,36.363,-2.922
5094.0,10,9,60,0.04,1.0,1.0,0.304,0.503,1.0,1.0,0.304,0.009,0.0,36.18,-2.314
5095.0,0,0,53,-0.01,1.0,0.667,0.13,1.138,1.0,0.667,0.13,0.007,0.0,82.051,-1.804
5095.0,0,1,17,-0.14,0.875,0.667,0.913,0.099,0.844,0.667,0.913,0.001,0.912,81.428,-2.424
5095.0,0,2,86,-0.04,1.0,0.667,0.435,1.146,1.0,0.667,0.435,0.007,0.0,82.616,-2.108
5095.0,0,3,0,0.12,0.954,0.667,0.739,0.277,0.942,0.667,0.739,0.002,0.754,81.123,-2.35
5095.0,0,4,36,-0.13,0.877,0.667,0.826,0.225,0.846,0.667,0.826,0.001,0.801,81.758,-2.34
5095.0,0,5,78,0.1,1.0,0.667,0.739,1.144,1.0,0.667,0.739,0.007,0.0,82.474,-2.413
5095.0,0,6,3,0.01,1.0,0.667,0.0,1.072,1.0,0.667,0.0,0.007,0.048,81.179,-1.673
5095.0,0,7,39,-0.13,0.878,0.667,0.826,0.233,0.847,0.667,0.826,0.001,0.794,81.811,-2.341
5095.0,0,8,63,-0.08,0.889,0.667,0.522,1.14,0.861,0.667,0.522,0.007,0.0,82.217,-2.057
5095.0,0,9,21,-0.05,1.0,0.667,0.304,0.872,1.0,0.667,0.304,0.005,0.228,81.496,-1.976
5095.0,1,0,22,-0.1,0.879,0.667,0.652,0.478,0.849,0.667,0.652,0.003,0.577,81.516,-2.171
5095.0,1,1,0,-0.07,0.94,0.667,0.435,0.68,0.925,0.667,0.435,0.004,0.395,81.122,-2.031
5095.0,1,2,70,-0.14,0.877,0.667,0.913,0.249,0.846,0.667,0.913,0.002,0.782,82.342,-2.427
5095.0,1,3,21,-0.02,1.0,0.667,0.13,1.073,1.0,0.667,0.13,0.007,0.05,81.497,-1.804
5095.0,1,4,67,-0.14,0.877,0.667,0.913,0.221,0.846,0.667,0.913,0.001,0.807,82.294,-2.427
5095.0,1,5,64,-0.04,1.0,0.667,0.348,1.14,1.0,0.667,0.348,0.007,0.0,82.23,-2.021
5095.0,1,6,48,-0.05,1.0,0.667,0.348,1.136,1.0,0.667,0.348,0.007,0.0,81.955,-2.021
5095.0,1,7,65,0.01,1.0,0.667,0.261,1.14,1.0,0.667,0.261,0.007,0.0,82.247,-1.934
5095.0,1,8,54,-0.14,0.875,0.667,0.913,0.149,0.844,0.667,0.913,0.001,0.869,82.057,-2.424
5095.0,1,9,59,-0.05,1.0,0.667,0.348,1.139,1.0,0.667,0.348,0.007,0.0,82.144,-2.021
5095.0,2,0,36,-0.14,0.875,0.667,0.913,0.114,0.844,0.667,0.913,0.001,0.899,81.756,-2.424
5095.0,2,1,62,-0.14,0.877,0.667,0.913,0.185,0.846,0.667,0.913,0.001,0.838,82.204,-2.427
5095.0,2,2,77,-0.14,0.877,0.667,0.913,0.377,0.846,0.667,0.913,0.002,0.67,82.464,-2.428
5095.0,2,3,45,-0.02,1.0,0.667,0.174,1.136,1.0,0.667,0.174,0.007,0.0,81.898,-1.847
5095.0,2,4,73,-0.14,0.877,0.667,0.913,0.285,0.846,0.667,0.913,0.002,0.751,82.389,-2.427
5095.0,2,5,90,-0.0,1.0,0.667,0.652,1.146,1.0,0.667,0.652,0.007,0.0,82.674,-2.326
5095.0,2,6,67,-0.04,1.0,0.667,0.348,1.141,1.0,0.667,0.348,0.007,0.0,82.293,-2.021
5095.0,2,7,39,-0.09,0.883,0.667,0.565,0.648,0.854,0.667,0.565,0.004,0.428,81.797,-2.09
5095.0,2,8,52,-0.14,0.875,0.667,0.913,0.144,0.844,0.667,0.913,0.001,0.873,82.029,-2.424
5095.0,2,9,34,-0.14,0.875,0.667,0.913,0.112,0.844,0.667,0.913,0.001,0.901,81.72,-2.424
5095.0,3,0,39,-0.14,0.877,0.667,0.913,0.118,0.846,0.667,0.913,0.001,0.896,81.806,-2.427
5095.0,3,1,90,-0.06,0.949,0.667,0.565,1.146,0.936,0.667,0.565,0.007,0.0,82.674,-2.175
5095.0,3,2,90,-0.05,1.0,0.667,0.435,1.146,1.0,0.667,0.435,0.007,0.0,82.674,-2.108
5095.0,3,3,45,-0.02,1.0,0.667,0.174,1.136,1.0,0.667,0.174,0.007,0.0,81.898,-1.847
5095.0,3,4,62,-0.04,1.0,0.667,0.304,1.14,1.0,0.667,0.304,0.007,0.0,82.206,-1.978
5095.0,3,5,47,-0.04,1.0,0.667,0.261,1.136,1.0,0.667,0.261,0.007,0.0,81.944,-1.934
5095.0,3,6,42,-0.14,0.877,0.667,0.913,0.122,0.846,0.667,0.913,0.001,0.893,81.849,-2.427
5095.0,3,7,33,-0.14,0.875,0.667,0.913,0.111,0.844,0.667,0.913,0.001,0.902,81.7,-2.424
5095.0,3,8,14,-0.05,1.0,0.667,0.304,0.844,1.0,0.667,0.304,0.005,0.252,81.369,-1.976
5095.0,3,9,29,-0.14,0.875,0.667,0.913,0.107,0.844,0.667,0.913,0.001,0.906,81.63,-2.424
5095.0,4,0,34,-0.09,0.883,0.667,0.565,0.614,0.854,0.667,0.565,0.004,0.458,81.709,-2.09
5095.0,4,1,34,-0.14,0.875,0.667,0.913,0.112,0.844,0.667,0.913,0.001,0.901,81.724,-2.424
5095.0,4,2,69,-0.14,0.877,0.667,0.913,0.231,0.846,0.667,0.913,0.001,0.797,82.314,-2.427
5095.0,4,3,45,0.02,1.0,0.667,0.13,1.136,1.0,0.667,0.13,0.007,0.0,81.898,-1.804
5095.0,4,4,56,-0.09,0.886,0.667,0.609,0.87,0.858,0.667,0.609,0.005,0.236,82.104,-2.138
