Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
8023.0,0,0,43,0.01,1.0,0.625,0.087,1.327,1.0,0.625,0.087,0.013,0.0,91.531,-1.725
8023.0,0,1,71,-0.04,1.0,0.625,0.348,1.33,1.0,0.625,0.348,0.013,0.0,91.776,-1.986
8023.0,0,2,62,0.13,1.0,0.625,0.87,0.547,1.0,0.625,0.87,0.005,0.589,91.695,-2.5
8023.0,0,3,74,-0.02,1.0,0.625,0.348,1.331,1.0,0.625,0.348,0.013,0.0,91.8,-1.986
8023.0,0,4,48,0.14,1.0,0.625,0.87,0.254,1.0,0.625,0.87,0.003,0.809,91.571,-2.497
8023.0,0,5,7,0.07,1.0,0.625,0.391,1.251,1.0,0.625,0.391,0.013,0.054,91.212,-2.029
8023.0,0,6,25,-0.04,1.0,0.625,0.261,1.324,1.0,0.625,0.261,0.013,0.0,91.371,-1.899
8023.0,0,7,3,-0.13,1.0,0.625,0.826,0.429,1.0,0.625,0.826,0.004,0.675,91.18,-2.455
8023.0,0,8,46,-0.12,1.0,0.625,0.783,0.675,1.0,0.625,0.783,0.007,0.491,91.557,-2.414
8023.0,0,9,80,0.11,1.0,0.625,0.783,1.331,1.0,0.625,0.783,0.013,0.0,91.853,-2.421
8023.0,1,0,17,0.07,1.0,0.625,0.391,1.254,1.0,0.625,0.391,0.013,0.053,91.305,-2.029
8023.0,1,1,90,0.1,1.0,0.625,1.0,1.333,1.0,0.625,1.0,0.013,0.0,91.931,-2.638
8023.0,1,2,69,0.14,1.0,0.625,0.913,0.327,1.0,0.625,0.913,0.003,0.754,91.756,-2.541
8023.0,1,3,64,0.04,1.0,0.625,0.304,1.329,1.0,0.625,0.304,0.013,0.0,91.716,-1.943
8023.0,1,4,88,0.14,1.0,0.625,0.913,0.777,1.0,0.625,0.913,0.008,0.417,91.916,-2.546
8023.0,1,5,52,0.06,1.0,0.625,0.391,1.327,1.0,0.625,0.391,0.013,0.001,91.607,-2.03
8023.0,1,6,70,0.01,1.0,0.625,0.304,1.33,1.0,0.625,0.304,0.013,0.0,91.762,-1.943
8023.0,1,7,44,0.01,1.0,0.625,0.087,1.327,1.0,0.625,0.087,0.013,0.0,91.538,-1.725
8023.0,1,8,55,-0.14,1.0,0.625,0.913,0.27,1.0,0.625,0.913,0.003,0.797,91.636,-2.541
8023.0,1,9,90,0.13,1.0,0.625,0.957,1.333,1.0,0.625,0.957,0.013,0.0,91.931,-2.595
8023.0,2,0,59,0.11,1.0,0.625,0.739,0.924,1.0,0.625,0.739,0.009,0.304,91.67,-2.373
8023.0,2,1,71,0.14,1.0,0.625,0.913,0.339,1.0,0.625,0.913,0.003,0.745,91.77,-2.541
8023.0,2,2,59,0.14,1.0,0.625,0.913,0.281,1.0,0.625,0.913,0.003,0.788,91.67,-2.541
8023.0,2,3,90,0.02,1.0,0.625,0.652,1.333,1.0,0.625,0.652,0.013,0.0,91.931,-2.291
8023.0,2,4,85,0.14,1.0,0.625,0.913,0.59,1.0,0.625,0.913,0.006,0.557,91.89,-2.544
8023.0,2,5,90,0.05,1.0,0.625,0.783,1.333,1.0,0.625,0.783,0.013,0.0,91.931,-2.421
8023.0,2,6,67,0.05,1.0,0.625,0.652,1.33,1.0,0.625,0.652,0.013,0.0,91.738,-2.291
8023.0,2,7,20,0.01,1.0,0.625,0.0,1.324,1.0,0.625,0.0,0.013,0.0,91.328,-1.638
8023.0,2,8,90,-0.13,1.0,0.625,0.87,1.333,1.0,0.625,0.87,0.013,0.0,91.931,-2.508
8023.0,2,9,90,0.08,1.0,0.625,0.739,1.333,1.0,0.625,0.739,0.013,0.0,91.931,-2.377
8023.0,3,0,90,0.14,1.0,0.625,0.913,0.988,1.0,0.625,0.913,0.01,0.259,91.931,-2.548
8023.0,3,1,58,0.08,1.0,0.625,0.522,1.262,1.0,0.625,0.522,0.013,0.05,91.662,-2.159
8023.0,3,2,90,0.14,1.0,0.625,0.913,0.988,1.0,0.625,0.913,0.01,0.259,91.931,-2.548
