,Hoy,SD_Angle,SD_Position
0,4349.0,32.0,0.07
1,4350.0,64.0,0.02
2,4351.0,14.0,0.06
3,4352.0,24.0,0.05
4,4353.0,14.0,-0.04
5,4354.0,28.0,-0.06
6,4355.0,16.0,0.1
7,4356.0,49.0,0.07
8,4357.0,0.0,0.11
9,4358.0,0.0,0.02
10,4359.0,47.0,0.04
11,4360.0,52.0,-0.03
12,4361.0,44.0,-0.08
13,4362.0,12.0,0.07
14,4363.0,1.0,-0.07
15,4373.0,72.0,0.03
16,4374.0,66.0,-0.06
17,4375.0,39.0,-0.08
18,4376.0,45.0,0.02
19,4377.0,75.0,-0.07
20,4378.0,33.0,0.05
21,4379.0,21.0,0.1
22,4380.0,44.0,0.12
23,4381.0,9.0,-0.08
24,4382.0,60.0,0.01
25,4383.0,0.0,-0.07
26,4384.0,11.0,-0.06
27,4385.0,44.0,-0.04
28,4386.0,0.0,0.07
29,4387.0,51.0,-0.07
30,4397.0,42.0,0.02
31,4398.0,66.0,0.01
32,4399.0,70.0,-0.07
33,4400.0,44.0,-0.03
34,4401.0,4.0,0.07
35,4402.0,25.0,-0.07
36,4403.0,4.0,-0.06
37,4404.0,9.0,-0.05
38,4405.0,25.0,0.05
39,4406.0,37.0,-0.04
40,4407.0,55.0,-0.07
41,4408.0,27.0,-0.05
42,4409.0,53.0,-0.04
43,4410.0,40.0,0.04
44,4411.0,10.0,-0.04
45,4421.0,48.0,-0.06
46,4422.0,58.0,0.08
47,4423.0,3.0,-0.08
48,4424.0,44.0,-0.02
49,4425.0,46.0,-0.05
50,4426.0,14.0,0.11
51,4427.0,31.0,0.14
52,4428.0,40.0,0.08
53,4429.0,50.0,-0.09
54,4430.0,13.0,-0.08
55,4431.0,72.0,-0.03
56,4432.0,53.0,-0.06
57,4433.0,57.0,-0.03
58,4434.0,50.0,-0.06
59,4435.0,50.0,0.09
60,4445.0,60.0,0.06
61,4446.0,50.0,-0.05
62,4447.0,49.0,0.03
63,4448.0,67.0,-0.04
64,4449.0,31.0,-0.05
65,4450.0,57.0,-0.02
66,4451.0,7.0,-0.08
67,4452.0,60.0,0.1
68,4453.0,46.0,0.02
69,4454.0,29.0,-0.06
70,4455.0,29.0,-0.11
71,4456.0,3.0,-0.1
72,4457.0,50.0,0.05
73,4458.0,58.0,0.09
74,4459.0,55.0,0.02
75,4469.0,23.0,0.04
76,4470.0,66.0,0.07
77,4471.0,7.0,-0.04
78,4472.0,50.0,-0.09
79,4473.0,34.0,-0.02
80,4474.0,19.0,-0.07
81,4475.0,23.0,0.04
82,4476.0,45.0,-0.08
83,4477.0,0.0,0.05
84,4478.0,0.0,0.03
85,4479.0,42.0,-0.06
86,4480.0,63.0,-0.1
87,4481.0,59.0,-0.02
88,4482.0,8.0,-0.04
89,4483.0,56.0,0.03
90,4493.0,15.0,0.08
91,4494.0,41.0,0.07
92,4495.0,67.0,-0.03
93,4496.0,34.0,-0.04
94,4497.0,23.0,0.02
95,4498.0,34.0,-0.03
96,4499.0,85.0,0.03
97,4500.0,42.0,-0.04
98,4501.0,32.0,0.03
99,4502.0,3.0,0.05
100,4503.0,43.0,-0.07
101,4504.0,14.0,-0.11
102,4505.0,72.0,-0.09
103,4506.0,29.0,0.04
104,4507.0,7.0,-0.03
105,4517.0,63.0,-0.06
106,4518.0,45.0,-0.04
107,4519.0,41.0,0.04
108,4520.0,52.0,-0.02
109,4521.0,14.0,0.06
110,4522.0,65.0,-0.06
111,4523.0,3.0,0.11
112,4524.0,11.0,0.06
113,4525.0,14.0,0.04
114,4526.0,53.0,-0.03
115,4527.0,23.0,-0.04
116,4528.0,36.0,-0.05
117,4529.0,21.0,-0.08
118,4530.0,47.0,-0.03
119,4531.0,64.0,-0.05
120,4541.0,22.0,0.02
121,4542.0,49.0,-0.06
122,4543.0,28.0,-0.06
123,4544.0,46.0,0.05
124,4545.0,9.0,0.07
125,4546.0,43.0,-0.01
126,4547.0,8.0,0.1
127,4548.0,78.0,-0.06
128,4549.0,59.0,-0.03
129,4550.0,7.0,-0.08
130,4551.0,21.0,-0.11
131,4552.0,2.0,-0.05
132,4553.0,58.0,0.02
133,4554.0,65.0,0.08
134,4555.0,0.0,0.04
135,4565.0,0.0,-0.01
136,4566.0,66.0,0.05
137,4567.0,55.0,-0.05
138,4568.0,12.0,0.02
139,4569.0,15.0,0.04
140,4570.0,75.0,0.08
141,4571.0,32.0,-0.08
142,4572.0,47.0,-0.01
143,4573.0,47.0,-0.0
144,4574.0,21.0,-0.08
145,4575.0,53.0,0.11
146,4576.0,74.0,-0.06
147,4577.0,72.0,-0.05
148,4578.0,65.0,0.06
149,4579.0,16.0,0.08
150,4589.0,68.0,-0.03
151,4590.0,25.0,-0.03
152,4591.0,34.0,-0.11
153,4592.0,61.0,-0.02
154,4593.0,13.0,0.05
155,4594.0,43.0,0.03
156,4595.0,31.0,0.13
157,4596.0,41.0,0.12
158,4597.0,73.0,0.08
159,4598.0,47.0,0.01
160,4599.0,42.0,0.11
161,4600.0,42.0,-0.07
