,Hoy,SD_Angle,SD_Position
305,735,28,-0.05
306,736,59,0
307,737,6,-0.06
308,752,25,0.02
309,753,72,-0.04
310,754,70,-0.06
311,755,90,0.09
312,756,45,-0.14
313,757,78,0.1
314,758,11,0.13
315,759,80,-0.13
316,760,65,0.02
317,761,35,0.03
318,776,18,-0.09
319,777,11,-0.06
320,778,63,-0.03
321,779,33,0.09
322,780,90,-0.04
323,781,30,0.1
324,782,81,0.13
325,783,51,0.01
326,784,21,-0.05
327,785,27,-0.04
328,800,60,0.03
329,801,49,0.12
330,802,3,-0.03
331,803,63,0.14
332,804,0,0.01
333,805,90,0.04
334,806,56,0.14
335,807,50,-0.02
336,808,78,-0.02
337,809,30,0.04
338,824,82,-0.06
339,825,2,0.03
340,826,20,-0.05
341,827,4,0.12
342,828,73,0.02
343,829,9,0.07
344,830,27,0.02
345,831,1,-0.04
346,832,51,-0.04
347,833,53,0.01
348,848,12,-0.07
349,849,80,-0.1
350,850,2,0.03
351,851,89,0.06
352,852,13,0.12
353,853,33,-0.01
354,854,34,-0.06
355,855,73,0.12
356,856,52,0.01
357,857,21,0.07
358,872,0,-0.05
359,873,90,-0.05
360,874,58,-0.07
361,875,53,0.1
362,876,31,0.01
363,877,49,0.13
364,878,13,0.12
365,879,47,-0.02
366,880,36,-0.01
367,881,56,0.05
368,896,6,-0.06
369,897,41,0.04
370,898,63,0.12
371,899,86,0.13
372,900,71,0.07
373,901,22,0.08
374,902,49,0.12
375,903,85,-0.11
376,904,62,0.03
377,905,32,-0.03
378,920,65,-0.03
379,921,36,-0.1
380,922,1,0.12
381,923,90,0.14
382,924,69,0.08
383,925,87,0.02
384,926,46,0.12
385,927,61,0.01
386,928,38,-0.05
387,929,0,-0.06
388,944,46,0.05
389,945,10,-0.08
390,946,30,-0.07
391,947,77,0.14
392,948,40,0.1
393,949,21,0.14
394,950,37,-0.02
395,951,9,-0.07
396,952,18,-0.08
397,953,49,0.05
398,968,48,-0.09
399,969,35,-0.07
400,970,2,-0.07
401,971,72,0.1
402,972,16,0.11
403,973,28,-0.03
404,974,20,-0.03
405,975,48,0.03
406,976,2,0.04
407,977,39,0.05
408,992,66,-0.08
409,993,59,0.03
410,994,10,0.04
411,995,7,0.1
412,996,23,0.08
413,997,45,0.14
414,998,9,0.14
415,999,66,-0.06
416,1000,24,-0.05
417,1001,81,-0.01
418,1016,27,-0.06
419,1017,14,-0.05
420,1018,68,-0.05
421,1019,47,-0.05
422,1020,39,0
423,1021,24,0.07
424,1022,49,0.14
425,1023,40,-0.01
426,1024,63,0.02
427,1025,68,0.07
428,1040,46,-0.08
429,1041,80,-0.03
430,1042,83,-0.07
431,1043,32,-0.05
432,1044,58,0.1
433,1045,74,0.01
434,1046,81,0.1
435,1047,56,-0.06
436,1048,75,-0.01
437,1049,37,0
438,1064,34,0.04
439,1065,6,0.13
440,1066,81,0.13
441,1067,77,0.14
442,1068,90,-0.01
443,1069,16,-0.06
444,1070,40,-0.14
445,1071,50,0
446,1072,71,-0.08
447,1073,32,-0.02
448,1088,36,0.02
449,1089,10,-0.09
450,1090,71,0.08
451,1091,83,0.06
452,1092,75,0.03
453,1093,29,0.01
454,1094,23,-0.06
455,1095,45,-0.04
456,1096,0,-0.04
457,1097,7,0.06
458,1112,61,0.04
459,1113,20,-0.05
460,1114,84,0.12
461,1115,77,0.1
462,1116,34,0.14
463,1117,27,0.11
464,1118,34,-0.01
465,1119,42,0.12
466,1120,52,-0.06
467,1121,43,0.06
468,1136,20,-0.07
469,1137,52,-0.01
470,1138,41,0.11
471,1139,2,0.09
472,1140,27,0.02
473,1141,89,0.14
474,1142,19,-0.14
475,1143,48,0.03
476,1144,65,-0.02
477,1145,38,0.07
478,1160,68,0.02
479,1161,20,0.04
480,1162,78,0.09
481,1163,32,-0.01
482,1164,51,0.08
483,1165,73,0.07
484,1166,1,-0.02
485,1167,37,-0.05
486,1168,14,-0.09
487,1169,11,-0.07
488,1184,11,-0.09
489,1185,54,0.01
490,1186,45,0.14
491,1187,83,0.14
492,1188,84,0.03
493,1189,51,-0.05
494,1190,39,0.07
495,1191,11,-0.08
496,1192,67,-0.02
497,1193,4,-0.04
498,1208,21,-0.07
499,1209,50,-0.05
500,1210,5,0.12
501,1211,74,-0.12
502,1212,22,0.12
503,1213,33,-0.05
504,1214,25,0.09
505,1215,63,0.12
506,1216,66,0.01
507,1217,56,-0.02
508,1232,50,0.04
509,1233,81,-0.09
510,1234,57,0.08
511,1235,82,-0.12
512,1236,64,0.07
513,1237,69,0.14
514,1238,8,-0.02
515,1239,57,-0.07
516,1240,0,-0.09
517,1241,1,0.05
518,1256,16,0.06
519,1257,12,-0.1
520,1258,83,-0.05
521,1259,8,-0.04
522,1260,49,0.02
523,1261,50,-0.13
524,1262,46,0.01
525,1263,62,-0.05
526,1264,71,0
527,1265,10,-0.04
528,1279,30,0.07
529,1280,34,-0.06
530,1281,57,0.11
531,1282,15,-0.07
532,1283,41,0.13
533,1284,40,-0.01
534,1285,60,-0.05
535,1286,44,0.08
536,1287,2,0.12
537,1288,43,-0.07
538,1289,90,-0.01
539,1303,62,0.05
540,1304,3,-0.11
541,1305,14,0.03
542,1306,2,0.12
543,1307,4,-0.03
544,1308,13,-0.05
545,1309,44,-0.14
546,1310,42,0.13
547,1311,19,-0.07
548,1312,59,-0.02
549,1313,6,0.06
550,1327,2,-0.04
551,1328,12,-0.04
552,1329,56,-0.07
553,1330,0,0.1
554,1331,49,-0.03
555,1332,55,0.14
556,1333,41,0.08
557,1334,0,-0.02
558,1335,31,-0.05
559,1336,18,0.06
560,1337,36,-0.05
561,1338,57,0.02
562,1351,38,-0.05
563,1352,41,0.06
564,1353,38,-0.07
565,1354,37,-0.06
566,1355,9,0.1
567,1356,85,-0.01
568,1357,18,0.09
569,1358,90,0.02
570,1359,57,-0.03
571,1360,19,-0.09
572,1361,24,0.03
573,1362,13,-0.05
574,1375,17,-0.07
575,1376,15,-0.07
576,1377,52,0
577,1378,12,-0.06
578,1379,12,-0.07
579,1380,89,0.1
580,1381,20,-0.03
581,1382,51,0.11
582,1383,27,0.13
583,1384,61,0.03
584,1385,84,0.06
585,1386,40,0
586,1399,13,-0.07
587,1400,18,0.04
588,1401,33,-0.06
589,1402,19,-0.05
590,1403,87,0.07
591,1404,65,-0.13
592,1405,51,-0.07
593,1406,32,0.12
594,1407,47,-0.02
595,1408,84,-0.04
596,1409,63,0.04
597,1410,42,-0.04
598,1423,59,-0.04
599,1424,50,-0.09
600,1425,88,0.01
601,1426,65,0.08
602,1427,30,0.14
603,1428,2,-0.05
604,1429,15,-0.03
605,1430,10,-0.06
606,1431,58,-0.03
607,1432,64,-0.05
608,1433,57,0.04
609,1434,7,0.05
610,1447,12,-0.05
611,1448,21,-0.09
612,1449,17,0.03
613,1450,5,0.12
614,1451,18,0.09
615,1452,1,-0.1
616,1453,48,0.14
617,1454,47,-0.05
618,1455,13,-0.06
619,1456,38,-0.08
620,1457,5,0.07
621,1458,51,-0.02
622,1471,52,0.01
623,1472,9,-0.07
624,1473,3,0.04
625,1474,38,0.1
626,1475,25,-0.03
627,1476,0,-0.02
628,1477,37,0
629,1478,36,0.01
630,1479,74,0.14
631,1480,45,0.04
632,1481,33,-0.05
633,1482,75,0.01
634,1495,0,-0.05
635,1496,19,-0.03
636,1497,23,-0.08
637,1498,51,0.05
638,1499,31,-0.02
639,1500,1,0.14
640,1501,15,0.02
641,1502,49,-0.03
642,1503,51,0
643,1504,32,0.04
644,1505,23,0.02
