,Hoy,SD_Angle,SD_Position
0,7303.0,38.0,0.1
1,7304.0,23.0,0.03
2,7305.0,27.0,0.05
3,7306.0,0.0,-0.07
4,7307.0,13.0,-0.01
5,7308.0,65.0,0.01
6,7309.0,54.0,0.08
7,7310.0,29.0,0.1
8,7311.0,4.0,-0.09
9,7312.0,56.0,0.05
10,7313.0,43.0,-0.05
11,7327.0,32.0,-0.07
12,7328.0,90.0,-0.09
13,7329.0,0.0,0.03
14,7330.0,44.0,0.03
15,7331.0,63.0,0.1
16,7332.0,28.0,0.01
17,7333.0,73.0,0.03
18,7334.0,90.0,0.01
19,7335.0,33.0,0.11
20,7336.0,54.0,0.02
21,7337.0,24.0,0.06
22,7351.0,79.0,0.02
23,7352.0,46.0,-0.02
24,7353.0,59.0,0.02
25,7354.0,90.0,-0.05
26,7355.0,28.0,0.14
27,7356.0,78.0,-0.05
28,7357.0,72.0,-0.03
29,7358.0,80.0,-0.12
30,7359.0,12.0,-0.09
31,7360.0,34.0,0.04
32,7361.0,7.0,0.07
33,7375.0,65.0,-0.01
34,7376.0,61.0,0.02
35,7377.0,62.0,0.04
36,7378.0,71.0,-0.14
37,7379.0,65.0,-0.03
38,7380.0,0.0,-0.05
39,7381.0,24.0,0.11
40,7382.0,56.0,0.14
41,7383.0,76.0,-0.11
42,7384.0,48.0,0.04
43,7385.0,69.0,-0.01
44,7399.0,46.0,-0.03
45,7400.0,42.0,-0.07
46,7401.0,54.0,0.11
47,7402.0,21.0,0.13
48,7403.0,46.0,0.02
49,7404.0,57.0,-0.01
50,7405.0,28.0,-0.0
51,7406.0,16.0,0.05
52,7407.0,16.0,0.03
53,7408.0,64.0,0.04
54,7409.0,24.0,0.04
55,7423.0,85.0,-0.04
56,7424.0,76.0,0.09
57,7425.0,20.0,-0.06
58,7426.0,11.0,0.0
59,7427.0,44.0,0.14
60,7428.0,75.0,-0.14
61,7429.0,85.0,0.04
62,7430.0,16.0,-0.11
63,7431.0,22.0,-0.05
64,7432.0,51.0,-0.01
65,7433.0,82.0,-0.01
66,7447.0,35.0,0.04
67,7448.0,41.0,0.04
68,7449.0,61.0,0.04
69,7450.0,0.0,0.1
70,7451.0,11.0,0.12
71,7452.0,88.0,-0.07
72,7453.0,34.0,0.13
73,7454.0,17.0,-0.01
74,7455.0,44.0,0.14
75,7456.0,64.0,0.02
76,7457.0,67.0,-0.04
77,7471.0,73.0,-0.01
78,7472.0,29.0,-0.07
79,7473.0,11.0,-0.05
80,7474.0,84.0,-0.11
81,7475.0,27.0,0.03
82,7476.0,15.0,0.04
83,7477.0,42.0,0.11
84,7478.0,64.0,0.11
85,7479.0,50.0,0.02
86,7480.0,55.0,-0.06
87,7481.0,45.0,-0.02
88,7495.0,70.0,-0.07
89,7496.0,15.0,-0.09
90,7497.0,61.0,0.04
91,7498.0,32.0,0.02
92,7499.0,24.0,-0.1
93,7500.0,65.0,0.11
94,7501.0,49.0,-0.11
95,7502.0,26.0,0.04
96,7503.0,33.0,0.09
97,7504.0,39.0,0.05
98,7505.0,57.0,-0.06
99,7519.0,0.0,0.02
100,7520.0,60.0,0.0
101,7521.0,13.0,0.09
102,7522.0,57.0,0.01
103,7523.0,89.0,0.04
104,7524.0,85.0,0.02
105,7525.0,8.0,-0.0
106,7526.0,76.0,-0.07
107,7527.0,65.0,-0.11
108,7528.0,5.0,0.06
109,7529.0,10.0,-0.07
110,7543.0,13.0,-0.04
111,7544.0,12.0,0.06
112,7545.0,34.0,-0.01
113,7546.0,49.0,0.1
114,7547.0,70.0,0.1
115,7548.0,27.0,0.08
116,7549.0,39.0,0.01
117,7550.0,36.0,0.1
118,7551.0,28.0,0.02
119,7552.0,64.0,-0.04
120,7553.0,44.0,-0.05
121,7567.0,26.0,0.04
122,7568.0,29.0,0.05
123,7569.0,48.0,0.02
124,7570.0,42.0,0.12
125,7571.0,65.0,0.1
126,7572.0,77.0,0.08
127,7573.0,72.0,0.14
128,7574.0,15.0,-0.14
129,7575.0,32.0,0.11
130,7576.0,72.0,-0.03
131,7577.0,29.0,-0.04
132,7591.0,8.0,-0.05
133,7592.0,61.0,0.02
134,7593.0,6.0,0.14
135,7594.0,47.0,0.04
136,7595.0,11.0,0.11
137,7596.0,78.0,0.14
138,7597.0,57.0,0.03
139,7598.0,51.0,0.03
140,7599.0,34.0,0.03
141,7600.0,66.0,-0.0
142,7601.0,70.0,-0.06
143,7615.0,31.0,0.05
144,7616.0,39.0,0.1
145,7617.0,28.0,-0.11
146,7618.0,23.0,0.13
147,7619.0,52.0,0.12
148,7620.0,62.0,0.04
149,7621.0,18.0,0.03
150,7622.0,7.0,0.1
151,7623.0,10.0,0.03
152,7624.0,49.0,-0.08
153,7625.0,12.0,0.03
154,7639.0,68.0,-0.05
155,7640.0,87.0,-0.08
156,7641.0,1.0,0.02
157,7642.0,25.0,-0.12
158,7643.0,79.0,0.08
159,7644.0,49.0,0.11
160,7645.0,0.0,0.02
161,7646.0,77.0,0.14
162,7647.0,20.0,-0.0
163,7648.0,58.0,-0.03
164,7649.0,50.0,0.04
165,7663.0,40.0,0.07
166,7664.0,16.0,-0.13
167,7665.0,1.0,-0.08
168,7666.0,21.0,0.01
169,7667.0,35.0,0.1
170,7668.0,60.0,0.02
171,7669.0,32.0,0.14
172,7670.0,79.0,0.09
173,7671.0,47.0,0.14
174,7672.0,16.0,0.02
175,7673.0,36.0,0.1
176,7687.0,23.0,-0.04
177,7688.0,10.0,0.06
178,7689.0,28.0,-0.05
179,7690.0,31.0,-0.01
180,7691.0,31.0,0.14
181,7692.0,51.0,0.13
