,Hoy,SD_Angle,SD_Position
0,4350.0,57.0,0.06
1,4351.0,49.0,0.05
2,4352.0,88.0,-0.07
3,4353.0,83.0,-0.1
4,4354.0,3.0,0.03
5,4355.0,47.0,0.12
6,4356.0,68.0,0.0
7,4357.0,8.0,-0.03
8,4358.0,90.0,-0.07
9,4359.0,47.0,0.05
10,4360.0,38.0,-0.05
11,4361.0,49.0,0.06
12,4362.0,9.0,-0.05
13,4363.0,46.0,-0.02
14,4374.0,32.0,0.05
15,4375.0,38.0,-0.05
16,4376.0,32.0,-0.01
17,4377.0,43.0,-0.0
18,4378.0,41.0,-0.03
19,4379.0,88.0,-0.04
20,4380.0,32.0,-0.08
21,4381.0,61.0,-0.0
22,4382.0,67.0,0.01
23,4383.0,38.0,0.03
24,4384.0,1.0,0.02
25,4385.0,44.0,-0.05
26,4386.0,46.0,-0.04
27,4387.0,62.0,-0.08
28,4398.0,1.0,0.05
29,4399.0,76.0,0.02
30,4400.0,39.0,-0.07
31,4401.0,62.0,-0.01
32,4402.0,68.0,-0.02
33,4403.0,45.0,-0.07
34,4404.0,10.0,-0.07
35,4405.0,25.0,-0.1
36,4406.0,1.0,-0.03
37,4407.0,12.0,-0.07
38,4408.0,24.0,-0.03
39,4409.0,59.0,0.08
40,4410.0,62.0,0.08
41,4411.0,65.0,-0.07
42,4422.0,15.0,0.05
43,4423.0,46.0,0.01
44,4424.0,56.0,-0.01
45,4425.0,24.0,-0.07
46,4426.0,44.0,0.02
47,4427.0,44.0,0.04
48,4428.0,18.0,0.04
49,4429.0,51.0,-0.03
50,4430.0,31.0,0.04
51,4431.0,76.0,-0.08
52,4432.0,68.0,-0.04
53,4433.0,73.0,0.04
54,4434.0,44.0,-0.07
55,4435.0,0.0,-0.07
56,4446.0,65.0,-0.07
57,4447.0,66.0,0.04
58,4448.0,57.0,-0.01
59,4449.0,59.0,0.04
60,4450.0,50.0,-0.01
61,4451.0,39.0,-0.07
62,4452.0,12.0,-0.04
63,4453.0,42.0,0.04
64,4454.0,72.0,0.01
65,4455.0,23.0,0.04
66,4456.0,21.0,-0.09
67,4457.0,30.0,-0.06
68,4458.0,17.0,-0.01
69,4459.0,59.0,0.04
70,4470.0,60.0,0.01
71,4471.0,1.0,-0.1
72,4472.0,32.0,-0.09
73,4473.0,53.0,-0.07
74,4474.0,5.0,0.04
75,4475.0,22.0,-0.03
