,Hoy,SD_Angle,SD_Position
0,5094.0,68.0,-0.06
1,5095.0,48.0,-0.05
2,5096.0,22.0,-0.04
3,5097.0,18.0,-0.04
4,5098.0,29.0,-0.07
5,5099.0,88.0,-0.07
6,5100.0,43.0,0.04
7,5101.0,33.0,-0.1
8,5102.0,49.0,0.03
9,5103.0,32.0,-0.02
10,5104.0,37.0,0.01
11,5105.0,56.0,0.01
12,5106.0,0.0,-0.06
13,5107.0,42.0,-0.02
14,5118.0,3.0,-0.05
15,5119.0,27.0,-0.0
16,5120.0,25.0,0.05
17,5121.0,30.0,-0.0
18,5122.0,26.0,-0.08
19,5123.0,54.0,0.01
20,5124.0,8.0,-0.12
21,5125.0,27.0,0.0
22,5126.0,75.0,-0.03
23,5127.0,56.0,-0.04
24,5128.0,52.0,0.04
25,5129.0,23.0,0.1
26,5130.0,71.0,-0.0
27,5131.0,37.0,-0.07
28,5142.0,15.0,0.04
29,5143.0,26.0,0.01
30,5144.0,49.0,-0.03
31,5145.0,32.0,-0.06
32,5146.0,65.0,-0.08
33,5147.0,13.0,0.06
34,5148.0,0.0,-0.06
35,5149.0,84.0,-0.03
36,5150.0,5.0,0.01
37,5151.0,60.0,0.03
38,5152.0,49.0,-0.04
39,5153.0,90.0,-0.04
40,5154.0,61.0,0.03
41,5155.0,0.0,0.06
42,5166.0,21.0,0.06
43,5167.0,6.0,-0.05
44,5168.0,7.0,-0.04
45,5169.0,7.0,-0.07
46,5170.0,48.0,-0.06
47,5171.0,40.0,-0.09
48,5172.0,31.0,-0.11
49,5173.0,89.0,-0.02
50,5174.0,34.0,-0.03
51,5175.0,80.0,-0.07
52,5176.0,29.0,-0.04
53,5177.0,47.0,-0.07
54,5178.0,25.0,0.05
55,5179.0,69.0,-0.01
56,5190.0,53.0,-0.0
57,5191.0,90.0,0.04
58,5192.0,39.0,-0.02
59,5193.0,74.0,0.03
60,5194.0,53.0,-0.08
61,5195.0,51.0,0.03
62,5196.0,52.0,-0.03
63,5197.0,25.0,0.04
64,5198.0,10.0,0.03
65,5199.0,51.0,-0.02
66,5200.0,54.0,0.06
67,5201.0,8.0,-0.03
68,5202.0,25.0,-0.01
69,5203.0,34.0,0.04
70,5214.0,0.0,-0.07
71,5215.0,31.0,-0.07
72,5216.0,45.0,-0.04
73,5217.0,7.0,0.07
74,5218.0,61.0,-0.03
75,5219.0,45.0,0.0
76,5220.0,21.0,-0.07
77,5221.0,7.0,0.03
78,5222.0,71.0,-0.07
79,5223.0,60.0,0.04
80,5224.0,4.0,-0.01
81,5225.0,20.0,-0.05
82,5226.0,47.0,0.06
83,5227.0,56.0,0.03
84,5238.0,53.0,0.08
85,5239.0,56.0,-0.07
86,5240.0,0.0,0.05
87,5241.0,71.0,0.04
88,5242.0,19.0,-0.03
89,5243.0,26.0,-0.07
90,5244.0,41.0,-0.07
91,5245.0,70.0,-0.05
92,5246.0,8.0,-0.03
93,5247.0,36.0,-0.1
94,5248.0,26.0,0.05
95,5249.0,45.0,-0.02
96,5250.0,47.0,0.03
97,5262.0,16.0,0.09
98,5263.0,4.0,-0.09
99,5264.0,47.0,-0.01
100,5265.0,53.0,0.13
101,5266.0,5.0,0.03
102,5267.0,40.0,-0.07
103,5268.0,35.0,-0.07
104,5269.0,43.0,0.02
105,5270.0,45.0,0.05
106,5271.0,13.0,0.04
107,5272.0,73.0,0.0
108,5273.0,2.0,0.08
109,5274.0,56.0,0.01
110,5286.0,3.0,0.02
111,5287.0,29.0,-0.06
112,5288.0,77.0,-0.09
113,5289.0,0.0,0.14
114,5290.0,10.0,-0.05
115,5291.0,4.0,-0.06
116,5292.0,68.0,-0.07
117,5293.0,5.0,0.05
118,5294.0,4.0,-0.06
119,5295.0,90.0,-0.08
120,5296.0,41.0,-0.08
121,5297.0,25.0,0.05
122,5298.0,67.0,-0.01
123,5310.0,17.0,-0.06
124,5311.0,8.0,0.06
125,5312.0,56.0,0.02
126,5313.0,5.0,-0.09
127,5314.0,45.0,0.01
128,5315.0,54.0,0.0
129,5316.0,49.0,-0.02
130,5317.0,11.0,0.05
131,5318.0,67.0,-0.07
132,5319.0,12.0,-0.08
133,5320.0,34.0,-0.05
134,5321.0,68.0,-0.04
135,5322.0,5.0,-0.06
136,5335.0,69.0,-0.07
137,5336.0,64.0,0.01
138,5337.0,68.0,-0.04
139,5338.0,54.0,0.04
140,5339.0,11.0,-0.08
141,5340.0,73.0,-0.06
142,5341.0,57.0,-0.12
143,5342.0,27.0,-0.03
144,5343.0,5.0,0.09
145,5344.0,64.0,-0.03
146,5345.0,42.0,-0.02
147,5346.0,0.0,-0.03
148,5359.0,6.0,-0.09
149,5360.0,72.0,-0.05
150,5361.0,0.0,-0.07
151,5362.0,14.0,-0.03
152,5363.0,4.0,0.06
153,5364.0,28.0,-0.04
154,5365.0,41.0,-0.08
155,5366.0,19.0,-0.06
156,5367.0,62.0,-0.03
157,5368.0,78.0,0.0
158,5369.0,20.0,0.07
159,5370.0,43.0,-0.05
160,5383.0,70.0,0.06
161,5384.0,62.0,0.02
162,5385.0,48.0,0.02
163,5386.0,43.0,-0.01
164,5387.0,90.0,-0.09
165,5388.0,0.0,0.06
166,5389.0,38.0,0.07
167,5390.0,6.0,-0.02
168,5391.0,58.0,-0.0
169,5392.0,25.0,-0.07
170,5393.0,55.0,-0.05
171,5394.0,1.0,-0.08
172,5407.0,25.0,-0.04
173,5408.0,10.0,0.04
174,5409.0,41.0,-0.09
175,5410.0,64.0,-0.03
176,5411.0,22.0,-0.02
177,5412.0,31.0,0.04
178,5413.0,61.0,0.03
179,5414.0,4.0,0.03
180,5415.0,39.0,-0.02
181,5416.0,67.0,-0.03
182,5417.0,34.0,-0.05
183,5418.0,36.0,0.03
184,5431.0,12.0,-0.11
185,5432.0,69.0,-0.07
186,5433.0,79.0,-0.06
187,5434.0,9.0,-0.02
188,5435.0,22.0,0.04
189,5436.0,9.0,-0.06
190,5437.0,83.0,-0.08
191,5438.0,46.0,-0.04
192,5439.0,59.0,-0.04
193,5440.0,0.0,-0.06
194,5441.0,64.0,-0.04
195,5442.0,31.0,-0.08
196,5455.0,70.0,0.02
197,5456.0,45.0,-0.05
198,5457.0,78.0,-0.07
199,5458.0,0.0,0.05
200,5459.0,37.0,-0.11
201,5460.0,38.0,-0.04
202,5461.0,2.0,-0.03
203,5462.0,49.0,0.05
204,5463.0,58.0,-0.06
205,5464.0,29.0,0.05
206,5465.0,11.0,0.08
207,5466.0,8.0,-0.07
208,5479.0,6.0,-0.0
209,5480.0,4.0,-0.06
210,5481.0,62.0,0.04
211,5482.0,71.0,-0.11
212,5483.0,8.0,-0.02
213,5484.0,79.0,-0.02
214,5485.0,50.0,0.05
215,5486.0,47.0,-0.03
216,5487.0,51.0,0.04
217,5488.0,10.0,-0.09
218,5489.0,30.0,0.07
219,5490.0,7.0,0.07
220,5503.0,67.0,0.02
221,5504.0,8.0,-0.1
222,5505.0,60.0,0.0
223,5506.0,14.0,-0.02
224,5507.0,32.0,-0.05
