,Hoy,SD_Angle,SD_Position
0,8.0,65.0,0.03
1,9.0,47.0,0.04
2,10.0,65.0,0.14
3,11.0,56.0,0.12
4,12.0,16.0,-0.0
5,13.0,49.0,0.14
6,14.0,37.0,0.14
7,15.0,84.0,0.01
8,16.0,81.0,-0.06
9,17.0,8.0,0.09
10,32.0,38.0,0.04
11,33.0,47.0,-0.01
12,34.0,33.0,-0.01
13,35.0,10.0,0.0
14,36.0,0.0,0.01
15,37.0,24.0,0.14
16,38.0,21.0,0.1
17,39.0,41.0,0.06
18,40.0,45.0,0.05
19,41.0,50.0,-0.02
20,56.0,26.0,0.04
21,57.0,11.0,0.06
22,58.0,61.0,-0.07
23,59.0,43.0,0.05
24,60.0,78.0,0.12
25,61.0,40.0,0.12
26,62.0,87.0,0.12
27,63.0,13.0,-0.02
28,64.0,39.0,-0.11
29,65.0,53.0,-0.03
30,80.0,50.0,0.04
31,81.0,58.0,0.05
32,82.0,35.0,0.1
33,83.0,7.0,-0.05
34,84.0,65.0,0.14
35,85.0,70.0,0.11
36,86.0,23.0,0.03
37,87.0,61.0,-0.07
38,88.0,59.0,0.03
39,89.0,36.0,-0.07
40,104.0,2.0,-0.04
41,105.0,22.0,0.07
42,106.0,24.0,0.05
43,107.0,39.0,0.04
44,108.0,14.0,0.01
45,109.0,35.0,0.14
46,110.0,1.0,0.13
47,111.0,49.0,0.14
48,112.0,42.0,-0.02
49,113.0,18.0,0.04
50,128.0,72.0,-0.06
51,129.0,3.0,0.03
52,130.0,57.0,-0.06
53,131.0,8.0,0.14
54,132.0,49.0,0.09
55,133.0,53.0,0.1
56,134.0,23.0,-0.14
57,135.0,51.0,0.12
58,136.0,23.0,0.04
59,137.0,45.0,-0.07
60,152.0,88.0,-0.06
61,153.0,10.0,-0.1
62,154.0,38.0,0.11
63,155.0,46.0,0.03
64,156.0,79.0,0.11
65,157.0,45.0,0.09
66,158.0,28.0,-0.13
67,159.0,55.0,0.1
68,160.0,52.0,-0.06
69,161.0,74.0,0.02
70,176.0,54.0,0.03
71,177.0,18.0,0.03
72,178.0,84.0,-0.12
73,179.0,13.0,-0.0
74,180.0,24.0,0.09
75,181.0,49.0,0.09
76,182.0,81.0,0.04
77,183.0,60.0,0.14
78,184.0,68.0,-0.06
79,185.0,81.0,0.01
80,200.0,29.0,0.07
81,201.0,1.0,-0.03
82,202.0,73.0,0.01
83,203.0,49.0,-0.1
84,204.0,0.0,-0.14
85,205.0,77.0,0.13
86,206.0,13.0,0.13
87,207.0,17.0,0.06
88,208.0,53.0,-0.03
89,209.0,15.0,0.03
90,224.0,45.0,-0.02
91,225.0,51.0,-0.08
92,226.0,66.0,-0.14
93,227.0,13.0,-0.01
94,228.0,31.0,0.04
95,229.0,76.0,-0.11
96,230.0,88.0,0.09
97,231.0,85.0,-0.09
98,232.0,32.0,0.03
99,233.0,60.0,-0.05
100,248.0,90.0,0.01
101,249.0,18.0,0.11
102,250.0,55.0,0.13
103,251.0,84.0,0.13
104,252.0,16.0,0.01
105,253.0,51.0,-0.1
106,254.0,78.0,-0.14
107,255.0,60.0,-0.13
108,256.0,54.0,-0.07
109,257.0,53.0,-0.03
110,272.0,46.0,-0.04
111,273.0,59.0,0.06
112,274.0,35.0,0.03
113,275.0,85.0,0.11
114,276.0,50.0,0.13
115,277.0,76.0,0.03
116,278.0,76.0,-0.14
117,279.0,3.0,-0.13
118,280.0,39.0,-0.01
119,281.0,12.0,0.07
120,296.0,27.0,-0.0
121,297.0,1.0,-0.01
122,298.0,46.0,0.09
123,299.0,59.0,0.09
124,300.0,29.0,0.12
125,301.0,31.0,-0.1
126,302.0,78.0,-0.14
127,303.0,87.0,0.13
128,304.0,39.0,-0.12
129,305.0,86.0,-0.07
130,320.0,24.0,0.05
131,321.0,44.0,-0.1
132,322.0,20.0,0.01
133,323.0,36.0,0.01
134,324.0,34.0,0.09
135,325.0,16.0,0.09
136,326.0,77.0,0.13
137,327.0,45.0,-0.01
138,328.0,46.0,-0.02
139,329.0,15.0,-0.05
140,344.0,42.0,-0.03
141,345.0,38.0,0.08
142,346.0,42.0,-0.06
143,347.0,18.0,0.1
144,348.0,19.0,0.09
145,349.0,24.0,0.1
146,350.0,10.0,0.13
147,351.0,33.0,0.03
148,352.0,44.0,-0.01
149,353.0,72.0,-0.0
150,368.0,47.0,0.05
151,369.0,7.0,-0.02
152,370.0,31.0,-0.02
153,371.0,72.0,0.14
154,372.0,22.0,-0.11
155,373.0,7.0,-0.01
156,374.0,2.0,0.04
157,375.0,49.0,-0.08
158,376.0,52.0,-0.03
159,377.0,32.0,0.06
160,392.0,73.0,-0.04
161,393.0,89.0,-0.04
162,394.0,12.0,0.05
163,395.0,65.0,-0.08
164,396.0,64.0,-0.06
165,397.0,35.0,-0.04
166,398.0,15.0,-0.03
167,399.0,0.0,0.01
168,400.0,50.0,0.11
169,401.0,43.0,-0.04
170,402.0,1.0,-0.02
171,416.0,37.0,0.06
172,417.0,32.0,0.1
173,418.0,29.0,0.0
174,419.0,34.0,-0.11
175,420.0,78.0,-0.1
176,421.0,35.0,-0.12
177,422.0,39.0,-0.01
178,423.0,37.0,-0.02
179,424.0,21.0,0.1
180,425.0,67.0,0.04
181,426.0,41.0,0.05
182,440.0,64.0,-0.1
183,441.0,90.0,0.14
184,442.0,35.0,-0.01
185,443.0,23.0,-0.12
186,444.0,35.0,0.09
187,445.0,46.0,0.01
188,446.0,90.0,0.08
189,447.0,19.0,-0.01
190,448.0,47.0,0.03
191,449.0,28.0,-0.07
192,450.0,80.0,0.04
193,464.0,43.0,-0.09
194,465.0,47.0,0.1
195,466.0,51.0,0.0
196,467.0,45.0,0.14
197,468.0,53.0,0.11
198,469.0,13.0,0.14
199,470.0,88.0,0.04
200,471.0,31.0,-0.02
201,472.0,5.0,-0.04
202,473.0,35.0,0.06
203,474.0,17.0,-0.05
204,488.0,5.0,0.05
205,489.0,86.0,0.14
206,490.0,46.0,0.14
207,491.0,23.0,0.05
208,492.0,66.0,-0.04
209,493.0,39.0,-0.01
210,494.0,27.0,-0.12
211,495.0,64.0,-0.08
212,496.0,53.0,0.1
213,497.0,64.0,-0.02
214,498.0,36.0,-0.04
215,512.0,47.0,-0.07
216,513.0,5.0,-0.06
217,514.0,63.0,-0.12
218,515.0,74.0,0.11
219,516.0,28.0,0.06
220,517.0,5.0,0.09
221,518.0,48.0,0.04
222,519.0,50.0,0.12
223,520.0,36.0,0.05
224,521.0,8.0,0.04
225,522.0,51.0,0.06
226,536.0,1.0,-0.01
227,537.0,32.0,-0.03
228,538.0,26.0,-0.05
229,539.0,50.0,0.01
230,540.0,23.0,0.1
231,541.0,0.0,0.04
232,542.0,32.0,0.02
233,543.0,2.0,0.03
234,544.0,2.0,0.05
235,545.0,78.0,-0.05
236,546.0,63.0,-0.02
237,560.0,12.0,0.04
238,561.0,42.0,0.14
239,562.0,27.0,0.02
240,563.0,25.0,0.04
241,564.0,32.0,0.14
242,565.0,42.0,-0.09
243,566.0,27.0,0.03
244,567.0,80.0,0.11
245,568.0,60.0,0.01
246,569.0,9.0,-0.02
247,570.0,13.0,0.05
248,584.0,39.0,-0.07
249,585.0,32.0,0.06
250,586.0,43.0,0.03
251,587.0,60.0,0.09
252,588.0,54.0,0.14
253,589.0,59.0,-0.14
254,590.0,7.0,0.0
255,591.0,30.0,0.1
256,592.0,34.0,-0.07
257,593.0,29.0,0.03
258,594.0,90.0,-0.08
259,608.0,14.0,0.03
260,609.0,64.0,0.12
261,610.0,23.0,-0.1
262,611.0,38.0,0.1
263,612.0,0.0,-0.07
264,613.0,18.0,0.11
265,614.0,70.0,0.02
266,615.0,35.0,0.02
267,616.0,69.0,-0.11
268,617.0,59.0,-0.05
269,618.0,39.0,-0.09
270,632.0,40.0,-0.07
271,633.0,9.0,0.12
272,634.0,56.0,0.13
273,635.0,67.0,-0.14
274,636.0,3.0,0.04
275,637.0,9.0,0.01
276,638.0,84.0,0.11
277,639.0,83.0,-0.05
278,640.0,35.0,0.02
279,641.0,76.0,-0.08
280,642.0,40.0,0.07
281,656.0,11.0,0.05
282,657.0,45.0,0.02
283,658.0,29.0,-0.07
284,659.0,52.0,0.02
285,660.0,18.0,0.1
286,661.0,32.0,0.14
287,662.0,7.0,-0.06
288,663.0,43.0,0.14
289,664.0,36.0,-0.07
290,665.0,31.0,-0.07
291,666.0,54.0,0.04
292,680.0,15.0,-0.02
293,681.0,3.0,0.14
294,682.0,21.0,0.01
295,683.0,41.0,-0.13
296,684.0,61.0,0.1
297,685.0,2.0,0.12
298,686.0,58.0,-0.08
299,687.0,17.0,-0.14
300,688.0,26.0,-0.01
301,689.0,47.0,-0.0
302,690.0,74.0,-0.03
303,704.0,56.0,0.1
304,705.0,6.0,-0.03
305,706.0,17.0,-0.14
306,707.0,79.0,0.13
307,708.0,6.0,0.1
308,709.0,50.0,0.11
309,710.0,72.0,-0.07
310,711.0,5.0,0.02
311,712.0,5.0,-0.11
312,713.0,22.0,0.06
313,714.0,6.0,-0.06
314,728.0,53.0,-0.01
315,729.0,27.0,0.04
316,730.0,15.0,-0.05
317,731.0,2.0,0.13
318,732.0,12.0,0.0
319,733.0,73.0,0.01
320,734.0,27.0,0.02
321,735.0,57.0,0.03
322,736.0,15.0,0.14
323,737.0,14.0,0.05
324,738.0,43.0,0.08
