Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,0,0,2,0.04,0.975,0.0,0.724,0.724,0.217,0.0,1237.824,0.339,222.787,0.0,-0.724
1932,0,1,40,-0.1,0.973,0.0,0.722,0.722,0.652,0.0,265.525,0.857,221.451,0.0,-0.722
1932,1,0,0,-0.02,0.97,0.0,0.643,0.643,0.478,0.0,1624.789,0.132,222.879,0.0,-0.643
1932,1,1,13,-0.05,0.973,0.0,0.722,0.722,0.304,0.0,817.037,0.563,222.421,0.0,-0.722
1932,2,0,22,0.08,0.973,0.0,0.719,0.719,0.478,0.0,468.892,0.749,222.085,0.0,-0.719
1932,2,1,38,-0.07,0.973,0.0,0.722,0.722,0.435,0.0,432.327,0.768,221.524,0.0,-0.722
