Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,Val_SDGP,SUDI,Val_SUDI,Vis,Val_Vis,Pvg,shade_percent,shade_rad,Val_Pvg,Optimizer
1932,0,0,30,0.05,0.975,0.0,0.724,0.724,0.304,0.0,593.664,0.681,221.814,0.0,-0.724
1932,0,1,13,0.07,0.973,0.0,0.719,0.719,0.435,0.0,643.336,0.656,222.396,0.0,-0.719
1932,1,0,42,0.02,0.973,0.0,0.722,0.722,0.087,0.0,675.95,0.637,221.388,0.0,-0.722
1932,1,1,28,0.07,0.973,0.0,0.719,0.719,0.435,0.0,488.697,0.738,221.883,0.0,-0.719
1932,2,0,31,0.11,0.983,0.0,0.724,0.724,0.696,0.0,233.752,0.875,221.761,0.0,-0.724
1932,2,1,4,0.12,0.983,0.0,0.724,0.724,0.739,0.0,316.288,0.831,222.719,0.0,-0.724
