,Hoy,SD_Angle,SD_Position,vis,Shaded_Ratio,Unshaded_Ratio
120,298,38,-0.04,0.26086957,0.7678,0.2322
121,299,39,0.01,0.04347826,0.9207,0.0793
122,300,21,0.11,0.69565217,0.3257,0.6743
123,301,27,0.12,0.73913043,0.248,0.752
124,302,32,0.13,0.82608696,0.2068,0.7932
125,303,33,0.05,0.26086957,0.6829,0.3171
126,304,74,0.03,0.39130435,0.6204,0.3796
127,305,36,0.09,0.56521739,0.4914,0.5086
128,320,56,0.01,0.17391304,0.6977,0.3023
129,321,29,-0.04,0.26086957,0.7932,0.2068
130,322,24,0.03,0.13043478,0.8064,0.1936
131,323,16,-0.13,0.82608696,0.2271,0.7729
132,324,48,-0.03,0.2173913,0.8211,0.1789
133,325,14,0.02,0.08695652,0.8577,0.1423
134,326,48,-0.07,0.47826087,0.5833,0.4167
135,327,67,0.04,0.30434783,0.7312,0.2688
136,328,22,0.06,0.34782609,0.6524,0.3476
137,329,10,0.02,0.08695652,0.8872,0.1128
138,344,20,-0.07,0.43478261,0.6159,0.3841
139,345,49,-0.05,0.34782609,0.718,0.282
140,346,26,-0.02,0.13043478,0.8836,0.1164
141,347,48,0,0.17391304,0.9726,0.0274
142,348,73,0.06,0.52173913,0.623,0.377
143,349,27,0.14,0.86956522,0.126,0.874
144,350,2,-0.12,0.7826087,0.2861,0.7139
145,351,65,0.02,0.30434783,0.7891,0.2109
146,352,44,-0.06,0.39130435,0.6504,0.3496
147,353,20,0.05,0.26086957,0.718,0.282
148,368,49,-0.03,0.2173913,0.7546,0.2454
149,369,33,0.01,0.04347826,0.9431,0.0569
150,370,31,0.12,0.73913043,0.2851,0.7149
151,371,46,0,0.17391304,0.9726,0.0274
152,372,90,0.09,0.86956522,0.4248,0.5752
153,373,14,-0.05,0.30434783,0.6951,0.3049
154,374,43,-0.11,0.69565217,0.3455,0.6545
155,375,48,-0.06,0.39130435,0.6392,0.3608
156,376,34,0.02,0.08695652,0.8811,0.1189
157,377,56,0.07,0.43478261,0.5793,0.4207
158,392,17,0.01,0,0.9451,0.0549
159,393,39,-0.04,0.26086957,0.7744,0.2256
160,394,43,-0.09,0.56521739,0.4776,0.5224
161,395,3,-0.06,0.39130435,0.6433,0.3567
162,396,64,0.08,0.52173913,0.5041,0.4959
163,397,4,0.13,0.82608696,0.187,0.813
164,398,16,-0.06,0.39130435,0.6428,0.3572
165,399,55,0.01,0.17391304,0.908,0.092
166,400,59,0.05,0.47826087,0.7094,0.2907
167,401,33,0.05,0.26086957,0.7175,0.2825
168,416,67,-0.01,0.26086957,0.5859,0.4141
169,417,34,-0.04,0.26086957,0.7932,0.2068
170,418,3,-0.11,0.69565217,0.3623,0.6377
171,419,0,0.11,0.69565217,0.3262,0.6738
172,420,19,0.14,0.86956522,0.1474,0.8526
173,421,15,-0.05,0.30434783,0.6951,0.3049
174,422,38,-0.02,0.13043478,0.8806,0.1194
175,423,17,-0.08,0.52173913,0.5244,0.4756
176,424,38,-0.09,0.56521739,0.4782,0.5219
177,425,77,0.01,0.34782609,0.3826,0.6174
178,440,46,-0.04,0.26086957,0.7749,0.2251
179,441,50,0.03,0.17391304,0.8267,0.1733
180,442,59,-0.01,0.17391304,0.9162,0.0838
181,443,56,0.14,0.91304348,0.1479,0.8521
182,444,76,0.02,0.43478261,0.8608,0.1392
183,445,2,0.09,0.52173913,0.4309,0.5691
184,446,35,-0.04,0.26086957,0.7617,0.2383
185,447,4,-0.05,0.30434783,0.7027,0.2973
186,448,31,-0.1,0.65217391,0.4395,0.5605
187,449,24,0.01,0,0.9405,0.0595
188,464,90,0,0.65217391,0.4065,0.5935
189,465,29,0.04,0.2173913,0.7739,0.2261
190,466,85,-0.01,0.47826087,0.6072,0.3928
191,467,76,-0.02,0.34782609,0.7937,0.2063
192,468,67,0.07,0.47826087,0.5635,0.4365
193,469,31,-0.12,0.7826087,0.2683,0.7317
194,470,56,-0.03,0.2173913,0.8211,0.1789
195,471,18,0.03,0.13043478,0.8018,0.1982
196,472,53,0,0.2173913,0.9919,0.0081
197,473,54,-0.05,0.34782609,0.6829,0.3171
198,488,17,-0.08,0.52173913,0.561,0.439
199,489,31,-0.04,0.26086957,0.7932,0.2068
200,490,50,0.01,0.13043478,0.9192,0.0808
201,491,39,0.13,0.82608696,0.2073,0.7927
202,492,53,0.13,0.86956522,0.2068,0.7932
203,493,49,-0.03,0.2173913,0.8171,0.1829
204,494,72,-0.07,0.47826087,0.5635,0.4365
205,495,73,-0.01,0.30434783,0.7271,0.2729
206,496,12,-0.05,0.30434783,0.7297,0.2703
207,497,78,-0.02,0.34782609,0.3847,0.6153
208,512,30,0.05,0.26086957,0.7256,0.2744
209,513,61,-0.02,0.26086957,0.8775,0.1225
210,514,26,-0.04,0.26086957,0.7678,0.2322
211,515,11,0.13,0.82608696,0.2073,0.7927
212,516,79,0.03,0.43478261,0.7419,0.2581
213,517,37,-0.02,0.13043478,0.878,0.122
214,518,21,-0.1,0.65217391,0.405,0.595
215,519,25,-0.11,0.69565217,0.3455,0.6545
216,520,65,0.03,0.30434783,0.8074,0.1926
217,521,0,-0.03,0.17391304,0.8308,0.1692
218,536,57,-0.04,0.26086957,0.6961,0.3039
219,537,62,-0.1,0.65217391,0.4355,0.5645
220,538,44,-0.11,0.69565217,0.3618,0.6382
221,539,34,0.07,0.39130435,0.564,0.436
222,540,84,-0.12,0.7826087,0.2663,0.7337
223,541,51,-0.09,0.60869565,0.4512,0.5488
224,542,7,0.12,0.73913043,0.2663,0.7337
225,543,57,-0.05,0.34782609,0.6936,0.3064
226,544,85,-0.05,0.34782609,0.6748,0.3252
227,545,14,-0.06,0.39130435,0.6616,0.3384
228,560,31,-0.11,0.69565217,0.3963,0.6037
229,561,56,-0.04,0.26086957,0.7708,0.2292
230,562,0,-0.04,0.26086957,0.7678,0.2322
231,563,13,0.13,0.82608696,0.2073,0.7927
232,564,22,0.14,0.86956522,0.1474,0.8526
233,565,49,-0.04,0.26086957,0.7561,0.2439
234,566,27,0.13,0.82608696,0.2068,0.7932
235,567,0,-0.07,0.43478261,0.5838,0.4162
236,568,54,0.05,0.34782609,0.7094,0.2907
237,569,26,-0.03,0.2173913,0.8272,0.1728
238,584,90,-0.05,0.43478261,0.4065,0.5935
239,585,40,0.03,0.13043478,0.8303,0.1697
240,586,88,-0.05,0.39130435,0.3816,0.6184
241,587,65,-0.11,0.73913043,0.345,0.655
242,588,64,-0.09,0.60869565,0.4644,0.5356
243,589,70,0.08,0.56521739,0.4919,0.5081
244,590,51,0.1,0.60869565,0.3852,0.6148
245,591,78,-0.01,0.47826087,0.7271,0.2729
246,592,69,0,0.34782609,0.9756,0.0244
247,593,42,0.06,0.34782609,0.6555,0.3445
248,608,23,0.04,0.2173913,0.7805,0.2195
249,609,3,0.03,0.13043478,0.8303,0.1697
250,610,15,0.05,0.26086957,0.6905,0.3095
251,611,65,0.09,0.60869565,0.4446,0.5554
252,612,49,0.12,0.73913043,0.2663,0.7337
253,613,53,0.07,0.43478261,0.5528,0.4472
254,614,46,-0.03,0.2173913,0.8211,0.1789
255,615,3,-0.08,0.52173913,0.5244,0.4756
256,616,56,0.02,0.2173913,0.8694,0.1306
257,617,35,0.04,0.2173913,0.7678,0.2322
258,632,44,0.01,0.08695652,0.8786,0.1214
259,633,71,-0.02,0.34782609,0.7627,0.2373
260,634,79,-0.1,0.69565217,0.4004,0.5996
261,635,0,-0.02,0.13043478,0.8811,0.1189
262,636,32,0.06,0.34782609,0.623,0.377
263,637,73,0.11,0.73913043,0.3089,0.6911
264,638,63,0.08,0.52173913,0.5041,0.4959
265,639,67,0,0.30434783,0.6748,0.3252
266,640,70,-0.03,0.30434783,0.753,0.247
267,641,69,0.06,0.47826087,0.5666,0.4334
268,656,28,-0.08,0.52173913,0.561,0.439
269,657,2,0.06,0.34782609,0.6611,0.3389
270,658,42,-0.05,0.34782609,0.7094,0.2907
271,659,45,0.01,0.08695652,0.9162,0.0838
272,660,88,-0.13,0.86956522,0.2068,0.7932
273,661,60,0.08,0.52173913,0.4919,0.5081
274,662,58,-0.05,0.34782609,0.7022,0.2978
275,663,49,0.01,0.13043478,0.9096,0.0904
276,664,81,-0.02,0.47826087,0.6189,0.3811
277,665,17,0.08,0.47826087,0.5488,0.4512
278,680,63,-0.03,0.26086957,0.688,0.312
279,681,9,0.04,0.2173913,0.7739,0.2261
280,682,3,-0.06,0.39130435,0.6519,0.3481
