Hoy,Gen,Ind,Sd_A,Sd_L,SDGP,SUDI,Vis,Pvg,Val_SDGP,Val_SUDI,Val_Vis,Val_Pvg,shade_percent,shade_rad,Optimizer
5094.0,0,0,28,0.11,1.0,0.212,0.696,0.162,1.0,0.212,0.696,0.002,0.757,46.851,-1.909
5094.0,0,1,50,-0.05,1.0,0.085,0.348,0.451,1.0,0.085,0.348,0.004,0.326,47.079,-1.437
5094.0,0,2,2,0.11,1.0,0.212,0.696,0.173,1.0,0.212,0.696,0.002,0.739,46.586,-1.909
5094.0,0,3,9,-0.01,1.0,0.0,0.043,0.583,1.0,0.0,0.043,0.006,0.122,46.657,-1.049
5094.0,0,4,68,-0.02,1.0,0.0,0.261,0.672,1.0,0.0,0.261,0.007,0.0,47.269,-1.268
5094.0,0,5,75,-0.12,0.988,0.185,0.783,0.196,0.985,0.185,0.783,0.002,0.709,47.347,-1.955
5094.0,0,6,73,0.05,1.0,0.0,0.783,0.619,1.0,0.0,0.783,0.006,0.08,47.32,-1.789
5094.0,0,7,83,0.06,1.0,0.0,0.696,0.675,1.0,0.0,0.696,0.007,0.0,47.429,-1.702
5094.0,0,8,86,-0.04,1.0,0.103,0.435,0.675,1.0,0.103,0.435,0.007,0.0,47.463,-1.545
5094.0,0,9,62,0.0,1.0,0.0,0.261,0.671,1.0,0.0,0.261,0.007,0.0,47.211,-1.268
5094.0,1,0,36,0.02,1.0,0.0,0.087,0.54,1.0,0.0,0.087,0.005,0.191,46.942,-1.092
5094.0,1,1,5,0.05,1.0,0.0,0.261,0.427,1.0,0.0,0.261,0.004,0.356,46.608,-1.265
5094.0,1,2,0,0.02,1.0,0.0,0.087,0.574,1.0,0.0,0.087,0.006,0.133,46.555,-1.093
5094.0,1,3,54,-0.09,1.0,0.162,0.609,0.283,1.0,0.162,0.609,0.003,0.578,47.128,-1.774
5094.0,1,4,90,-0.14,0.985,0.175,0.957,0.099,0.981,0.175,0.957,0.001,0.853,47.498,-2.113
