WINDOW_BF23BD9D
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.569
0.504
0.577
0.857
0.705
0.521
0.197
0.716
0.702
0.341
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.291
0.053
0.568
0.5
0.441
0.745
0.495
0.661
0.792
0.127
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.179
0.641
0.514
0.281
0.761
0.706
0.55
0.748
0.112
0.292
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.68
0.246
0.451
0.692
0.457
0.585
0.731
0.778
0.359
0.79
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.51
0.45
0.492
0.731
0.465
0.441
0.668
0.716
0.512
0.334
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.178
0.641
0.778
0.197
0.625
0.625
0.448
0.102
0.701
0.451
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.399
0.679
0.273
0.574
0.753
0.802
0.613
0.515
0.336
0.68
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.628
0.451
0.608
0.637
0.505
0.505
0.402
0.095
0.748
0.287
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.111
0.343
0.801
0.731
0.569
0.385
0.786
0.585
0.679
0.732
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.51
0.574
0.661
0.495
0.569
0.337
0.464
0.313
0.626
0.716
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.494
0.784
0.509
0.731
0.321
0.561
0.495
0.778
0.702
0.562
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.276
0.302
0.424
0.433
0.649
0.409
0.55
0.428
0.625
0.198
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.399
0.499
0.539
0.519
0.345
0.745
0.393
0.545
0.65
0.067
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.687
0.161
0.539
0.512
0.449
0.745
0.024
0.545
0.445
0.338
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.273
0.468
0.37
0.668
0.337
0.689
0.55
0.84
0.785
0.29
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.731
0.453
0.539
0.04
0.697
0.81
0.676
0.043
0.694
0.248
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.673
0.386
0.424
0.433
0.585
0.81
0.495
0.547
0.212
0.34
0.328
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.219
0.415
0.278
0.668
0.337
0.77
0.495
0.724
0.385
0.059
0.36
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.432
0.272
0.685
0.495
0.449
0.625
0.629
0.586
0.491
0.716
0.332
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.49
0.581
0.655
0.762
0.385
0.625
0.739
0.54
0.581
0.561
0.415
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
0.774
0.672
0.655
0.613
0.625
0.818
